"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"music_type1","Integer","","Recommended","Think about the past 2 weeks. On an average day, what type of music do you listen to - Pop","0;1","0=Unselected; 1=Selected",""
"music_type2","Integer","","Recommended","Think about the past 2 weeks. On an average day, what type of music do you listen to - Rock","0;1","0=Unselected; 1=Selected",""
"music_type3","Integer","","Recommended","Think about the past 2 weeks. On an average day, what type of music do you listen to - Traditional ethnic music","0;1","0=Unselected; 1=Selected",""
"music_type4","Integer","","Recommended","Think about the past 2 weeks. On an average day, what type of music do you listen to - Jazz","0;1","0=Unselected; 1=Selected",""
"music_type5","Integer","","Recommended","Think about the past 2 weeks. On an average day, what type of music do you listen to - Electronic","0;1","0=Unselected; 1=Selected",""
"music_type6","Integer","","Recommended","Think about the past 2 weeks. On an average day, what type of music do you listen to - Hip-hop","0;1","0=Unselected; 1=Selected",""
"music_type7","Integer","","Recommended","Think about the past 2 weeks. On an average day, what type of music do you listen to - World music","0;1","0=Unselected; 1=Selected",""
"music_type8","Integer","","Recommended","Think about the past 2 weeks. On an average day, what type of music do you listen to - Classical","0;1","0=Unselected; 1=Selected",""
"music_type9","Integer","","Recommended","Think about the past 2 weeks. On an average day, what type of music do you listen to - Country","0;1","0=Unselected; 1=Selected",""
"music_type10","Integer","","Recommended","Think about the past 2 weeks. On an average day, what type of music do you listen to - Other","0;1","0=Unselected; 1=Selected",""
"music_type_other","String","50","Recommended","Think about the past 2 weeks. On an average day, what type of music do you listen to - Other, specify","","",""
"music_streaming","Integer","","Recommended","During the past two weeks, did you typically listen to music using a streaming service?","0;1","0=No; 1=Yes",""
"streaming_use1","Integer","","Recommended","If yes, what streaming service do you use to listen to music - Spotify","0;1","0=Unselected; 1=Selected",""
"streaming_use2","Integer","","Recommended","If yes, what streaming service do you use to listen to music - Apple Music","0;1","0=Unselected; 1=Selected",""
"streaming_use3","Integer","","Recommended","If yes, what streaming service do you use to listen to music - Tidal","0;1","0=Unselected; 1=Selected",""
"streaming_use4","Integer","","Recommended","If yes, what streaming service do you use to listen to music - Amazon Music","0;1","0=Unselected; 1=Selected",""
"streaming_use5","Integer","","Recommended","If yes, what streaming service do you use to listen to music - YouTube Music","0;1","0=Unselected; 1=Selected",""
"streaming_use6","Integer","","Recommended","If yes, what streaming service do you use to listen to music - Pandora","0;1","0=Unselected; 1=Selected",""
"streaming_use7","Integer","","Recommended","If yes, what streaming service do you use to listen to music - SoundCloud","0;1","0=Unselected; 1=Selected",""
"streaming_use8","Integer","","Recommended","If yes, what streaming service do you use to listen to music - Other","0;1","0=Unselected; 1=Selected",""
"streaming_other","String","50","Recommended","If yes, what streaming service do you use to listen to music - Other, specify","","",""
"song_calm_1","String","200","Recommended","Please list five (5) songs that you would use to calm down in a stressful situation - Song title 1","","",""
"song_calm_2","String","200","Recommended","Please list five (5) songs that you would use to calm down in a stressful situation - Song title 2","","",""
"song_calm_3","String","200","Recommended","Please list five (5) songs that you would use to calm down in a stressful situation - Song title 3","","",""
"song_calm_4","String","200","Recommended","Please list five (5) songs that you would use to calm down in a stressful situation - Song title 4","","",""
"song_calm_5","String","200","Recommended","Please list five (5) songs that you would use to calm down in a stressful situation - Song title 5","","",""
"artist_calm_1","String","200","Recommended","Please list five (5) songs that you would use to calm down in a stressful situation - Song artist 1","","",""
"artist_calm_2","String","200","Recommended","Please list five (5) songs that you would use to calm down in a stressful situation - Song artist 2","","",""
"artist_calm_3","String","200","Recommended","Please list five (5) songs that you would use to calm down in a stressful situation - Song artist 3","","",""
"artist_calm_4","String","200","Recommended","Please list five (5) songs that you would use to calm down in a stressful situation - Song artist 4","","",""
"artist_calm_5","String","200","Recommended","Please list five (5) songs that you would use to calm down in a stressful situation - Song artist 5","","",""
"song_not_calm_1","String","200","Recommended","Please list any songs or artists that you would NOT use to calm down in a stressful situation - Song title 1","","",""
"song_not_calm_2","String","200","Recommended","Please list any songs or artists that you would NOT use to calm down in a stressful situation - Song title 2","","",""
"song_not_calm_3","String","200","Recommended","Please list any songs or artists that you would NOT use to calm down in a stressful situation - Song title 3","","",""
"song_not_calm_4","String","200","Recommended","Please list any songs or artists that you would NOT use to calm down in a stressful situation - Song title 4","","",""
"song_not_calm_5","String","200","Recommended","Please list any songs or artists that you would NOT use to calm down in a stressful situation - Song title 5","","",""
"artist_not_calm_1","String","200","Recommended","Please list any songs or artists that you would NOT use to calm down in a stressful situation - Song artist 1","","",""
"artist_not_calm_2","String","200","Recommended","Please list any songs or artists that you would NOT use to calm down in a stressful situation - Song artist 2","","",""
"artist_not_calm_3","String","200","Recommended","Please list any songs or artists that you would NOT use to calm down in a stressful situation - Song artist 3","","",""
"artist_not_calm_4","String","200","Recommended","Please list any songs or artists that you would NOT use to calm down in a stressful situation - Song artist 4","","",""
"artist_not_calm_5","String","200","Recommended","Please list any songs or artists that you would NOT use to calm down in a stressful situation - Song artist 5","","",""
