"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","",""
"rest_eo_abs_pow_delta_fp1","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel Fp1","","",""
"rest_eo_abs_pow_delta_af3","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel AF3","","",""
"rest_eo_abs_pow_delta_af7","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel AF7","","",""
"rest_eo_abs_pow_delta_f7","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel F7","","",""
"rest_eo_abs_pow_delta_f5","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel F5","","",""
"rest_eo_abs_pow_delta_f3","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel F3","","",""
"rest_eo_abs_pow_delta_f1","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel F1","","",""
"rest_eo_abs_pow_delta_fz","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel Fz","","",""
"rest_eo_abs_pow_delta_fc1","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel FC1","","",""
"rest_eo_abs_pow_delta_fc3","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel FC3","","",""
"rest_eo_abs_pow_delta_fc5","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel FC5","","",""
"rest_eo_abs_pow_delta_ft7","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel FT7","","",""
"rest_eo_abs_pow_delta_ft9","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel FT9","","",""
"rest_eo_abs_pow_delta_t7","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel T7","","",""
"rest_eo_abs_pow_delta_c5","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel C5","","",""
"rest_eo_abs_pow_delta_c3","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel C3","","",""
"rest_eo_abs_pow_delta_c1","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel C1","","",""
"rest_eo_abs_pow_delta_cz","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel Cz","","",""
"rest_eo_abs_pow_delta_cp1","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel CP1","","",""
"rest_eo_abs_pow_delta_cp3","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel CP3","","",""
"rest_eo_abs_pow_delta_cp5","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel CP5","","",""
"rest_eo_abs_pow_delta_tp7","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel TP7","","",""
"rest_eo_abs_pow_delta_tp9","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel TP9","","",""
"rest_eo_abs_pow_delta_p7","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel P7","","",""
"rest_eo_abs_pow_delta_p5","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel P5","","",""
"rest_eo_abs_pow_delta_p3","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel P3","","",""
"rest_eo_abs_pow_delta_p1","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel P1","","",""
"rest_eo_abs_pow_delta_pz","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel Pz","","",""
"rest_eo_abs_pow_delta_po3","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel PO3","","",""
"rest_eo_abs_pow_delta_po7","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel PO7","","",""
"rest_eo_abs_pow_delta_o1","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel O1","","",""
"rest_eo_abs_pow_delta_oz","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel Oz","","",""
"rest_eo_abs_pow_delta_fp2","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel Fp2","","",""
"rest_eo_abs_pow_delta_af8","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel AF8","","",""
"rest_eo_abs_pow_delta_af4","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel AF4","","",""
"rest_eo_abs_pow_delta_afz","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel AFz","","",""
"rest_eo_abs_pow_delta_f2","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel F2","","",""
"rest_eo_abs_pow_delta_f4","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel F4","","",""
"rest_eo_abs_pow_delta_f6","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel F6","","",""
"rest_eo_abs_pow_delta_f8","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel F8","","",""
"rest_eo_abs_pow_delta_ft10","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel FT10","","",""
"rest_eo_abs_pow_delta_ft8","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel FT8","","",""
"rest_eo_abs_pow_delta_fc6","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel FC6","","",""
"rest_eo_abs_pow_delta_fc4","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel FC4","","",""
"rest_eo_abs_pow_delta_fc2","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel FC2","","",""
"rest_eo_abs_pow_delta_c2","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel C2","","",""
"rest_eo_abs_pow_delta_c4","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel C4","","",""
"rest_eo_abs_pow_delta_c6","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel C6","","",""
"rest_eo_abs_pow_delta_t8","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel T8","","",""
"rest_eo_abs_pow_delta_tp10","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel TP10","","",""
"rest_eo_abs_pow_delta_tp8","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel TP8","","",""
"rest_eo_abs_pow_delta_cp6","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel CP6","","",""
"rest_eo_abs_pow_delta_cp4","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel CP4","","",""
"rest_eo_abs_pow_delta_cp2","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel CP2","","",""
"rest_eo_abs_pow_delta_cpz","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel CPz","","",""
"rest_eo_abs_pow_delta_p2","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel P2","","",""
"rest_eo_abs_pow_delta_p4","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel P4","","",""
"rest_eo_abs_pow_delta_p6","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel P6","","",""
"rest_eo_abs_pow_delta_p8","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel P8","","",""
"rest_eo_abs_pow_delta_po8","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel PO8","","",""
"rest_eo_abs_pow_delta_po4","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel PO4","","",""
"rest_eo_abs_pow_delta_o2","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel O2","","",""
"rest_eo_abs_pow_delta_poz","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel POz","","",""
"rest_eo_abs_pow_delta_fcz","Float","","Recommended","Resting eyes open average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel FCz","","",""
"rest_ec_abs_pow_delta_fp1","Float","","Recommended","Resting eyes closed average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel Fp1","","",""
"rest_ec_abs_pow_delta_af3","Float","","Recommended","Resting eyes closed average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel AF3","","",""
"rest_ec_abs_pow_delta_af7","Float","","Recommended","Resting eyes closed average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel AF7","","",""
"rest_ec_abs_pow_delta_f7","Float","","Recommended","Resting eyes closed average absolute power spectral density in [1,3] Hz delta band in microvolt^2/Hz, channel F7","","",""
