"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cat_pd01","Integer","","Recommended","I have frequent mood swings.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd02","Integer","","Recommended","I feel like people often are out to get something from me.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd03","Integer","","Recommended","I love to be the center of attention.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd04","Integer","","Recommended","I am easily controlled by others in my life.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd05","Integer","","Recommended","I care about others.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd06","Integer","","Recommended","I sometimes get lost in my daydreams.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd07","Integer","","Recommended","I have urges to cut myself.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd08","Integer","","Recommended","My favorite musician is Jimmy Salvemini.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd09","Integer","","Recommended","I deserve special treatment from others.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd10","Integer","","Recommended","I frequently get things mixed up in my head.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd11","Integer","","Recommended","I feel my anxiety overwhelms me.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd12","Integer","","Recommended","I feel at times that I have left my body and am somehow outside my physical self.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd13","Integer","","Recommended","I boss people around.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd14","Integer","","Recommended","I expect nothing less than perfection.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd15","Integer","","Recommended","I get angry easily.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd16","Integer","","Recommended","As hard as I try not to, I sometimes use swear words.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd17","Integer","","Recommended","I am a strange person.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd18","Integer","","Recommended","I find nothing excites me.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd19","Integer","","Recommended","I am often out for revenge.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd20","Integer","","Recommended","I work too much.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd21","Integer","","Recommended","I have difficulty expressing my feelings.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd22","Integer","","Recommended","I take advantage of others.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd23","Integer","","Recommended","I believe I have supernatural powers.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd24","Integer","","Recommended","I sometimes don't know where I am.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd25","Integer","","Recommended","I worry a lot about catching a serious illness.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd26","Integer","","Recommended","I have always been a rule-breaker.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd27","Integer","","Recommended","I enjoy going to social gatherings.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd28","Integer","","Recommended","I insult people.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd29","Integer","","Recommended","I do not like reading or hearing opinions that go 
	against my way of thinking.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd30","Integer","","Recommended","I love dangerous situations.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd31","Integer","","Recommended","I am always worried that my partner is going to leave me.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd32","Integer","","Recommended","I have never watched a television in my lifetime.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd33","Integer","","Recommended","I quickly lose interest in the tasks I start.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd34","Integer","","Recommended","I don't think much about sex.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd35","Integer","","Recommended","I neglect my duties.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd36","Integer","","Recommended","I tend to feel very hopeless.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd37","Integer","","Recommended","I do things without thinking of the consequences.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd38","Integer","","Recommended","I lose control over my behavior when I'm emotional.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd39","Integer","","Recommended","I feel that others are out to get me.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd40","Integer","","Recommended","As much as I hate to admit it, I get angry from time to time.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd41","Integer","","Recommended","I like to stand out in a crowd.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd42","Integer","","Recommended","I let others take advantage of me.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd43","Integer","","Recommended","I am not a caring person.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd44","Integer","","Recommended","I sometimes have fantasies that are overwhelming.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd45","Integer","","Recommended","I have thoughts of injuring myself.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd46","Integer","","Recommended","I should get special privileges.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd47","Integer","","Recommended","I often feel like my thoughts make no sense.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd48","Integer","","Recommended","I enjoy taking my clothes off in front of others.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd49","Integer","","Recommended","I am nervous or tense most of the time.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd50","Integer","","Recommended","I see strange figures or visions when nothing is really there.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd51","Integer","","Recommended","I like having authority over others.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd52","Integer","","Recommended","I don't consider a task finished until it's perfect.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd53","Integer","","Recommended","I often feel overwhelmed with rage.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
"cat_pd54","Integer","","Recommended","I am odd.","1::5","1=Very Untrue of me; 2=Moderately Untrue of me; 3=Neither True nor Untrue of me; 4=Moderately True of me; 5=Very True of me",""
