"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","interview_date_evt2"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","interview_age_evt2"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"grade","String","50","Recommended","Current Grade","","","gradeequivalent"
"evt_q1","Integer","","Recommended","Question1","0;1","0=Incorrect; 1=Correct","evt2_tree"
"evt_q2","Integer","","Recommended","Question2","0;1","0=Incorrect; 1=Correct","evt2_car"
"evt_q3","Integer","","Recommended","Question3","0;1","0=Incorrect; 1=Correct","evt2_bed"
"evt_q4","Integer","","Recommended","Question4","0;1","0=Incorrect; 1=Correct","evt2_apple"
"evt_q5","Integer","","Recommended","Question5","0;1","0=Incorrect; 1=Correct","evt2_home"
"evt_q6","Integer","","Recommended","Question6","0;1","0=Incorrect; 1=Correct","evt2_balloons"
"evt_q7","Integer","","Recommended","Question7","0;1","0=Incorrect; 1=Correct","evt2_fish"
"evt_q8","Integer","","Recommended","Question8","0;1","0=Incorrect; 1=Correct","evt2_socks"
"evt_q9","Integer","","Recommended","Question9","0;1","0=Incorrect; 1=Correct","evt2_bird"
"evt_q10","Integer","","Recommended","Question10","0;1","0=Incorrect; 1=Correct","evt2_eyeball"
"evt_q11","Integer","","Recommended","Question11","0;1","0=Incorrect; 1=Correct","evt2_cake"
"evt_q12","Integer","","Recommended","Question12","0;1","0=Incorrect; 1=Correct","evt2_star"
"evt_q13","Integer","","Recommended","Question13","0;1","0=Incorrect; 1=Correct","evt2_frog"
"evt_q14","Integer","","Recommended","Question14","0;1","0=Incorrect; 1=Correct","evt2_yellow"
"evt_q15","Integer","","Recommended","Question15","0;1","0=Incorrect; 1=Correct","evt2_bunny"
"evt_q16","Integer","","Recommended","Question16","0;1","0=Incorrect; 1=Correct","evt2_swimming"
"evt_q17","Integer","","Recommended","Question17","0;1","0=Incorrect; 1=Correct","evt2_sun"
"evt_q18","Integer","","Recommended","Question18","0;1","0=Incorrect; 1=Correct","evt2_napping"
"evt_q19","Integer","","Recommended","Question19","0;1","0=Incorrect; 1=Correct","evt2_blue"
"evt_q20","Integer","","Recommended","Question20","0;1","0=Incorrect; 1=Correct","evt2_jogging"
"evt_q21","Integer","","Recommended","Question21","0;1","0=Incorrect; 1=Correct","evt2_zipper"
"evt_q22","Integer","","Recommended","Question22","0;1","0=Incorrect; 1=Correct","evt2_window"
"evt_q23","Integer","","Recommended","Question23","0;1","0=Incorrect; 1=Correct","evt2_scissors"
"evt_q24","Integer","","Recommended","Question24","0;1","0=Incorrect; 1=Correct","evt2_garbage"
"evt_q25","Integer","","Recommended","Question25","0;1","0=Incorrect; 1=Correct","evt2_brown"
"evt_q26","Integer","","Recommended","Question26","0;1","0=Incorrect; 1=Correct","evt2_hammer"
"evt_q27","Integer","","Recommended","Question27","0;1","0=Incorrect; 1=Correct","evt2_cow"
"evt_q28","Integer","","Recommended","Question28","0;1","0=Incorrect; 1=Correct","evt2_umbrella"
"evt_q29","Integer","","Recommended","Question29","0;1","0=Incorrect; 1=Correct","evt2_purple"
"evt_q30","Integer","","Recommended","Question30","0;1","0=Incorrect; 1=Correct","evt2_two"
"evt_q31","Integer","","Recommended","Question31","0;1","0=Incorrect; 1=Correct","evt2_truck"
"evt_q32","Integer","","Recommended","Question32","0;1","0=Incorrect; 1=Correct","evt2_ring"
"evt_q33","Integer","","Recommended","Question33","0;1","0=Incorrect; 1=Correct","evt2_three"
"evt_q34","Integer","","Recommended","Question34","0;1","0=Incorrect; 1=Correct","evt2_bread"
"evt_q35","Integer","","Recommended","Question35","0;1","0=Incorrect; 1=Correct","evt2_couch"
"evt_q36","Integer","","Recommended","Question36","0;1","0=Incorrect; 1=Correct","evt2_neck"
"evt_q37","Integer","","Recommended","Question37","0;1","0=Incorrect; 1=Correct","evt2_four"
"evt_q38","Integer","","Recommended","Question38","0;1","0=Incorrect; 1=Correct","evt2_brush"
"evt_q39","Integer","","Recommended","Question39","0;1","0=Incorrect; 1=Correct","evt2_bag"
"evt_q40","Integer","","Recommended","Question40","0;1","0=Incorrect; 1=Correct","evt2_triangle"
"evt_q41","Integer","","Recommended","Question41","0;1","0=Incorrect; 1=Correct","evt2_chin"
"evt_q42","Integer","","Recommended","Question42","0;1","0=Incorrect; 1=Correct","evt2_candle"
"evt_q43","Integer","","Recommended","Question43","0;1","0=Incorrect; 1=Correct","evt2_circle"
"evt_q44","Integer","","Recommended","Question44","0;1","0=Incorrect; 1=Correct","evt2_bridge"
"evt_q45","Integer","","Recommended","Question45","0;1","0=Incorrect; 1=Correct","evt2_kangaroo"
"evt_q46","Integer","","Recommended","Question46","0;1","0=Incorrect; 1=Correct","evt2_five"
"evt_q47","Integer","","Recommended","Question47","0;1","0=Incorrect; 1=Correct","evt2_nest"
"evt_q48","Integer","","Recommended","Question48","0;1","0=Incorrect; 1=Correct","evt2_ladder"
"evt_q49","Integer","","Recommended","Question49","0;1","0=Incorrect; 1=Correct","evt2_climbing"
"evt_q50","Integer","","Recommended","Question50","0;1","0=Incorrect; 1=Correct","evt2_helmet"
"evt_q51","Integer","","Recommended","Question51","0;1","0=Incorrect; 1=Correct","evt2_fireman"
"evt_q52","Integer","","Recommended","Question52","0;1","0=Incorrect; 1=Correct","evt2_gray"
"evt_q53","Integer","","Recommended","Question53","0;1","0=Incorrect; 1=Correct","evt2_thumb"
"evt_q54","Integer","","Recommended","Question54","0;1","0=Incorrect; 1=Correct","evt2_dad"
"evt_q55","Integer","","Recommended","Question55","0;1","0=Incorrect; 1=Correct","evt2_octopus"
"evt_q56","Integer","","Recommended","Question56","0;1","0=Incorrect; 1=Correct","evt2_guitar"
"evt_q57","Integer","","Recommended","Question57","0;1","0=Incorrect; 1=Correct","evt2_writing"
"evt_q58","Integer","","Recommended","Question58","0;1","0=Incorrect; 1=Correct","evt2_sad"
"evt_q59","Integer","","Recommended","Question59","0;1","0=Incorrect; 1=Correct","evt2_chain"
"evt_q60","Integer","","Recommended","Question60","0;1","0=Incorrect; 1=Correct","evt2_rose"
"evt_q61","Integer","","Recommended","Question61","0;1","0=Incorrect; 1=Correct","evt2_lock"
"evt_q62","Integer","","Recommended","Question62","0;1","0=Incorrect; 1=Correct","evt2_taxi"
"evt_q63","Integer","","Recommended","Question63","0;1","0=Incorrect; 1=Correct","evt2_fishhook"
"evt_q64","Integer","","Recommended","Question64","0;1","0=Incorrect; 1=Correct","evt2_rake"
"evt_q65","Integer","","Recommended","Question65","0;1","0=Incorrect; 1=Correct","evt2_stairs"
"evt_q66","Integer","","Recommended","Question66","0;1","0=Incorrect; 1=Correct","evt2_branch"
"evt_q67","Integer","","Recommended","Question67","0;1","0=Incorrect; 1=Correct","evt2_kitten"
"evt_q68","Integer","","Recommended","Question68","0;1","0=Incorrect; 1=Correct","evt2_done"
"evt_q69","Integer","","Recommended","Question69","0;1","0=Incorrect; 1=Correct","evt2_coat"
"evt_q70","Integer","","Recommended","Question70","0;1","0=Incorrect; 1=Correct","evt2_map"
"evt_q71","Integer","","Recommended","Question71","0;1","0=Incorrect; 1=Correct","evt2_bench"
"evt_q72","Integer","","Recommended","Question72","0;1","0=Incorrect; 1=Correct","evt2_close"
"evt_q73","Integer","","Recommended","Question73","0;1","0=Incorrect; 1=Correct","evt2_tomato"
"evt_q74","Integer","","Recommended","Question74","0;1","0=Incorrect; 1=Correct","evt2_camel"
"evt_q75","Integer","","Recommended","Question75","0;1","0=Incorrect; 1=Correct","evt2_start"
"evt_q76","Integer","","Recommended","Question76","0;1","0=Incorrect; 1=Correct","evt2_donkey"
"evt_q77","Integer","","Recommended","Question77","0;1","0=Incorrect; 1=Correct","evt2_pear"
"evt_q78","Integer","","Recommended","Question78","0;1","0=Incorrect; 1=Correct","evt2_barn"
"evt_q79","Integer","","Recommended","Question79","0;1","0=Incorrect; 1=Correct","evt2_giant"
"evt_q80","Integer","","Recommended","Question80","0;1","0=Incorrect; 1=Correct","evt2_judge"
"evt_q81","Integer","","Recommended","Question81","0;1","0=Incorrect; 1=Correct","evt2_afraid"
"evt_q82","Integer","","Recommended","Question82","0;1","0=Incorrect; 1=Correct","evt2_fruit"
"evt_q83","Integer","","Recommended","Question83","0;1","0=Incorrect; 1=Correct","evt2_hard"
"evt_q84","Integer","","Recommended","Question84","0;1","0=Incorrect; 1=Correct","evt2_parachute"
"evt_q85","Integer","","Recommended","Question85","0;1","0=Incorrect; 1=Correct","evt2_kettle"
"evt_q86","Integer","","Recommended","Question86","0;1","0=Incorrect; 1=Correct","evt2_astronaut"
"evt_q87","Integer","","Recommended","Question87","0;1","0=Incorrect; 1=Correct","evt2_dusk"
"evt_q88","Integer","","Recommended","Question88","0;1","0=Incorrect; 1=Correct","evt2_rectangle"
"evt_q89","Integer","","Recommended","Question89","0;1","0=Incorrect; 1=Correct","evt2_insect"
"evt_q90","Integer","","Recommended","Question90","0;1","0=Incorrect; 1=Correct","evt2_binoculars"
"evt_q91","Integer","","Recommended","Question91","0;1","0=Incorrect; 1=Correct","evt2_hollar"
"evt_q92","Integer","","Recommended","Question92","0;1","0=Incorrect; 1=Correct","evt2_pair"
"evt_q93","Integer","","Recommended","Question93","0;1","0=Incorrect; 1=Correct","evt2_briskly"
"evt_q94","Integer","","Recommended","Question94","0;1","0=Incorrect; 1=Correct","evt2_anchor"
"evt_q95","Integer","","Recommended","Question95","0;1","0=Incorrect; 1=Correct","evt2_mute"
"evt_q96","Integer","","Recommended","Question96","0;1","0=Incorrect; 1=Correct","evt2_bib"
"evt_q97","Integer","","Recommended","Question97","0;1","0=Incorrect; 1=Correct","evt2_compass"
"evt_q98","Integer","","Recommended","Question98","0;1","0=Incorrect; 1=Correct","evt2_pyramids"
"evt_q99","Integer","","Recommended","Question99","0;1","0=Incorrect; 1=Correct","evt2_walrus"
"evt_q100","Integer","","Recommended","Question100","0;1","0=Incorrect; 1=Correct","evt2_triplets"
"evt_q101","Integer","","Recommended","Question101","0;1","0=Incorrect; 1=Correct","evt2_attractive"
"evt_q102","Integer","","Recommended","Question102","0;1","0=Incorrect; 1=Correct","evt2_course"
"evt_q103","Integer","","Recommended","Question103","0;1","0=Incorrect; 1=Correct","evt2_bow"
"evt_q104","Integer","","Recommended","Question104","0;1","0=Incorrect; 1=Correct","evt2_beneath"
"evt_q105","Integer","","Recommended","Question105","0;1","0=Incorrect; 1=Correct","evt2_address"
"evt_q106","Integer","","Recommended","Question106","0;1","0=Incorrect; 1=Correct","evt2_cruise"
"evt_q107","Integer","","Recommended","Question107","0;1","0=Incorrect; 1=Correct","evt2_peacock"
"evt_q108","Integer","","Recommended","Question108","0;1","0=Incorrect; 1=Correct","evt2_thorns"
"evt_q109","Integer","","Recommended","Question109","0;1","0=Incorrect; 1=Correct","evt2_disappear"
