"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"alife_1","Integer","","Recommended","MDD (Major Depressive Disorder) episode since last interview","0;1","0= No; 1= Yes",""
"alife_1_a","Integer","","Recommended","MDD Symptoms - Depressed mood","0;1","0= No; 1= Yes",""
"alife_1_b","Integer","","Recommended","MDD Symptoms - Anhedonia","0;1","0= No; 1= Yes",""
"alife_1_c","Integer","","Recommended","MDD Symptoms - Significant weight change/change in appetite","0;1","0= No; 1= Yes",""
"alife_1_d","Integer","","Recommended","MDD Symptoms - Insomnia/hypersomnia","0;1","0= No; 1= Yes",""
"alife_1_e","Integer","","Recommended","MDD Symptoms - Psychomotor agitation/retardation","0;1","0= No; 1= Yes",""
"alife_1_f","Integer","","Recommended","MDD Symptoms - Fatigue/loss of energy","0;1","0= No; 1= Yes",""
"alife_1_g","Integer","","Recommended","MDD Symptoms - Worthlessness/guilt","0;1","0= No; 1= Yes",""
"alife_1_h","Integer","","Recommended","MDD Symptoms - Diminished concentration/indecisiveness","0;1","0= No; 1= Yes",""
"alife_1_i","Integer","","Recommended","MDD Symptoms - Suicidal Ideation","0;1","0= No; 1= Yes",""
"alife_1_j","Integer","","Recommended","The MDD symptoms lasted 2 or more weeks","0;1","0= No; 1= Yes",""
"alife_2","Integer","","Recommended","Schizoaffective Disorder, Depressed criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_3","Integer","","Recommended","Dysthymic Disorder criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_4","Integer","","Recommended","Manic episode criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_5","Integer","","Recommended","Schizoaffective Disorder, Manic criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_6","Integer","","Recommended","Hypomanic episode criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_7","Integer","","Recommended","Cyclothymic Disorder criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_8","Integer","","Recommended","Psychotic Disorder Not Otherwise Specified criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_9","Integer","","Recommended","Panic Disorder without Agoraphobia criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_10","Integer","","Recommended","Panic Disorder with Agoraphobia criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_11","Integer","","Recommended","Agoraphobia without history of panic disorder criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_12","Integer","","Recommended","Specific phobia criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_13","Integer","","Recommended","Social phobia criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_14","Integer","","Recommended","Generalized anxiety disorder criteria met since last interview","0;1","0= No; 1= Yes",""
"alife_15","Integer","","Recommended","Obsessive-Compulsive Disorder met since last interview","0;1","0= No; 1= Yes",""
"alife_16","Integer","","Recommended","Posttraumatic Stress Disorder met since last interview","0;1","0= No; 1= Yes",""
"alife_17","Integer","","Recommended","Anxiety Disorder Not Otherwise Specified met since last interview","0;1","0= No; 1= Yes",""
"alife_18","Integer","","Recommended","Attention-Deficit Hyperactivity Disorder met since last interview","0;1","0= No; 1= Yes",""
"alife_19","Integer","","Recommended","Conduct Disorder met since last interview","0;1","0= No; 1= Yes",""
"alife_20","Integer","","Recommended","Oppositional Defiant Disorder met since last interview","0;1","0= No; 1= Yes",""
"alife_21","Integer","","Recommended","Separation Anxiety Disorder met since last interview","0;1","0= No; 1= Yes",""
"alife_22","Integer","","Recommended","Body Dysmorphic met since last interview","0;1","0= No; 1= Yes",""
"alife_23","Integer","","Recommended","Anorexia Nervosa met since last interview","0;1","0= No; 1= Yes",""
"alife_24","Integer","","Recommended","Bulimia Nervosa met since last interview","0;1","0= No; 1= Yes",""
"alife_25","Integer","","Recommended","Alcohol Dependence met since last interview","0;1","0= No; 1= Yes",""
"alife_26","Integer","","Recommended","Drug Dependence met since last interview","0;1","0= No; 1= Yes",""
"alife_27","Integer","","Recommended","Alcohol Abuse met since last interview","0;1","0= No; 1= Yes",""
"alife_28","Integer","","Recommended","Drug Abuse met since last interview","0;1","0= No; 1= Yes",""
"alife_29","Integer","","Recommended","Other Psychiatric Disorder met since last interview","0;1","0= No; 1= Yes",""
"alife_remission","Integer","","Recommended","If out of range, how long?","1::6","1= Not out of range; 2= Less than one month; 3= 1 month; 4= 2 months; 5= 3 months; 6= 4 months or more",""
