"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"adti_1","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Provide an important accomplishment or update on your life using social media","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_2","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Change, add to, or remove from existing content that you or other people have created (For example, change the text of a status update, remove a photo, add a tag of someone on a photo)","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_3","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Look into or follow a business or product (For example: Adidas, Nordstrom)","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_4","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Plan an event","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_5","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes?  Follow or look into an event you may attend","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_6","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Post a photo that you took for artistic reasons","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_7","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Create a profile with a different identity","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_8","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? See what people are up to without asking them about it","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_9","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Direct message, converse, chat, or talk back and forth with another person (one on one)","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_10","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Video Chat (For example: Skype or FaceTime)","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_11","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Contribute to a private conversation (For example: messaging or in a private group)","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_12","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Create a piece of content, such as a text, photo, video or combination of text, photos and videos that will disappear or be impermanent (For example: a story, Snapchat)","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_13","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Use a service that allows me to track what I'm doing (For example: using an app to track your run, steps, heart rate, sleep)","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_14","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Manage my mood","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_15","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Steal or copy others' identities","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_16","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Use applications or devices that create and transport me to a 3D virtual environments with virtual objects to replace the real everyday-life world. (For example: using a virtual reality headset such as Oculus or Google Daydream)","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_17","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Explore my sexuality","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_18","Integer","","Recommended","How important, if at all, is it for you to use media platforms for the following purposes? Build a brand","1::5","1 = Not at all important; 2 = Slightly important; 3 = Moderately important; 4 = Very important; 5 = Extremely important",""
"adti_subscore1","Integer","","Recommended","Subscale: Technology to bridge online and offline preferences and experiences","","Items adti_1 through adti_6",""
"adti_subscore2","Integer","","Recommended","Subscale: Technology to go outside one's identity or offline environemnt","","Items adti_7 and adti_13 through adti_18",""
"adti_subscore3","Integer","","Recommended","Subscale: Technology for social connection","","Items adti_8 through adti_12",""
