"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"audsarc_prtape1","Integer","","Recommended","Practice Tape 1","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_prtape2","Integer","","Recommended","Practice Tape 2","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_prtape3","Integer","","Recommended","Practice Tape 3","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_prtape4","Integer","","Recommended","Practice Tape 4","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape1","Integer","","Recommended","Tape 1","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape2","Integer","","Recommended","Tape 2","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape3","Integer","","Recommended","Tape 3","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape4","Integer","","Recommended","Tape 4","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape5","Integer","","Recommended","Tape 5","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape6","Integer","","Recommended","Tape 6","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape7","Integer","","Recommended","Tape 7","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape8","Integer","","Recommended","Tape 8","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape9","Integer","","Recommended","Tape 9","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape10","Integer","","Recommended","Tape 10","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape11","Integer","","Recommended","Tape 11","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape12","Integer","","Recommended","Tape 12","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape13","Integer","","Recommended","Tape 13","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape14","Integer","","Recommended","Tape 14","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape15","Integer","","Recommended","Tape 15","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape16","Integer","","Recommended","Tape 16","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape17","Integer","","Recommended","Tape 17","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape18","Integer","","Recommended","Tape 18","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape19","Integer","","Recommended","Tape 19","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape20","Integer","","Recommended","Tape 20","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape21","Integer","","Recommended","Tape 21","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape22","Integer","","Recommended","Tape 22","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape23","Integer","","Recommended","Tape 23","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape24","Integer","","Recommended","Tape 24","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape25","Integer","","Recommended","Tape 25","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape26","Integer","","Recommended","Tape 26","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape27","Integer","","Recommended","Tape 27","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape28","Integer","","Recommended","Tape 28","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape29","Integer","","Recommended","Tape 29","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape30","Integer","","Recommended","Tape 30","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape31","Integer","","Recommended","Tape 31","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape32","Integer","","Recommended","Tape 32","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape33","Integer","","Recommended","Tape 33","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape34","Integer","","Recommended","Tape 34","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape35","Integer","","Recommended","Tape 35","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape36","Integer","","Recommended","Tape 36","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape37","Integer","","Recommended","Tape 37","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape38","Integer","","Recommended","Tape 38","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape39","Integer","","Recommended","Tape 39","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_tape40","Integer","","Recommended","Tape 40","0;1","0= Sarcastic; 1= Sincere",""
"audsarc_total","Integer","","Recommended","Total Score","","",""
"audsarc_comments","String","1000","Recommended","Comments","","",""
