"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"sac_1s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Tense","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_2s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Relaxed","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_3s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Restful","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_4a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Active","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_5s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Apprehensive","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_6s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Worried","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_7a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Energetic","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_8a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Drowsy","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_9s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Bothered","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_10s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Uneasy","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_11s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Dejected","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_12s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Nervous","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_13s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Distressed","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_14a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Vigorous","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_15s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Peaceful","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_16a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Tired","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_17a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Idle","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_18s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Uptight","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_19a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Alert","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_20a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Lively","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_21s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Cheerful","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_22s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Contented","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_23s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Jittery","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_24a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Sluggish","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_25s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Pleasant","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_26a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Sleepy","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_27s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Comfortable","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_28s","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Calm","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_29a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Stimulated","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_30a","Integer","","Recommended","Please indicate your current level of stress as it pertains to each description. Activated","1::4","1 =  Definitely describes your feelings; 2 = More or less describes your feelings; 3 =  Cannot decide whether or not it describes how you feel; 4 = Does not describe the way you feel",""
"sac_stress_score","Integer","","Recommended","Stress Score","0::18","Sum of sac_1s, sac_2s, sac_3s, sac_5s, sac_6s, sac_9s, sac_10s, sac_11s, sac_12s, sac_13s, sac_15s, sac_18s, sac_21s, sac_22s, sac_23s, sac_25s, sac_27s, sac_28s. Mackay et al 1978 criteria. All scores converted to 0 or 1 and summed.",""
"sac_arousal_score","Integer","","Recommended","Arousal Score","0::12","Sum of sac_4a, sac_7a, sac_8a, sac_14a, sac_16a, sac_17a, sac_19a, sac_20a, sac_24a, sac_26a, sac_29a, sac_30a. Mackay et al 1978 criteria. All scores converted to 0 or 1 and summed.",""
