"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ztpi_1","Integer","","Recommended","1. I believe that getting together with one's friends to party is one of life's important pleasures.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_2","Integer","","Recommended","2. Familiar childhood sights, sounds, smells often bring back a flood of wonderful memories.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_3","Integer","","Recommended","3. Fate determines much in my life.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_4","Integer","","Recommended","4. I often think of what I should have done differently in my life.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_5","Integer","","Recommended","5. My decisions are mostly influenced by people and things around me.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_6","Integer","","Recommended","6. I believe that a person's day should be planned ahead each morning.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_7","Integer","","Recommended","7. It gives me pleasure to think about my past.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_8","Integer","","Recommended","8. I do things impulsively.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_9","Integer","","Recommended","9. If things don't get done on time, I don't worry about it.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_10","Integer","","Recommended","10. When I want to achieve something, I set goals and consider specific means for reaching those goals.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_11","Integer","","Recommended","11. On balance, there is much more good to recall than bad in my past.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_12","Integer","","Recommended","12. When listening to my favorite music, I often lose all track of time.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_13","Integer","","Recommended","13. Meeting tomorrow's deadlines and doing other necessary work comes before tonight's play.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_14","Integer","","Recommended","14. Since whatever will be will be, it doesn't really matter what I do.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_15","Integer","","Recommended","15. I enjoy stories about how things used to be in the ""good old times.""","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_16","Integer","","Recommended","16. Painful past experiences keep being replayed in my mind.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_17","Integer","","Recommended","17. I try to live my life as fully as possible, one day at a time.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_18","Integer","","Recommended","18. It upsets me to be late for appointments.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_19","Integer","","Recommended","19. Ideally, I would live each day as if it were my last.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_20","Integer","","Recommended","20. Happy memories of good times spring readily to mind.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_21","Integer","","Recommended","21. I meet my obligations to friends and authorities on time.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_22","Integer","","Recommended","22. I've taken my share of abuse and rejection in the past.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_23","Integer","","Recommended","23. I make decisions on the spur of the moment.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_24","Integer","","Recommended","24. I take each day as it is rather than try to plan it out.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_25","Integer","","Recommended","25. The past has too many unpleasant memories that I prefer not to think about.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_26","Integer","","Recommended","26. It is important to put excitement in my life.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_27","Integer","","Recommended","27. I've made mistakes in the past that I wish I could undo.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_28","Integer","","Recommended","28. I feel that it's more important to enjoy what you're doing than to get work done on time.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_29","Integer","","Recommended","29. I get nostalgic about my childhood.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_30","Integer","","Recommended","30. Before making a decision, I weigh the costs against the benefits.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_31","Integer","","Recommended","31. Taking risks keeps my life from becoming boring.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_32","Integer","","Recommended","32. It is more important for me to enjoy life's journey than to focus only on the destination.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_33","Integer","","Recommended","33. Things rarely work out as I expected.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_34","Integer","","Recommended","34. It's hard for me to forget unpleasant images of my youth.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_35","Integer","","Recommended","35. It takes joy out of the process and flow of my activities, if I have to think about goals, outcomes, and products.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_36","Integer","","Recommended","36. Even when I am enjoying the present, I am drawn back to comparisons with similar past experiences.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_37","Integer","","Recommended","37. You can't really plan for the future because things change so much.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_38","Integer","","Recommended","38. My life path is controlled by forces I cannot influence.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_39","Integer","","Recommended","39.  It doesn't make sense to worry about the future, since there is nothing that I can do about it anyway.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_40","Integer","","Recommended","40. I complete projects on time by making steady progress.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_41","Integer","","Recommended","41. I find myself tuning out when family members talk about the way things used to be.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_42","Integer","","Recommended","42. I take risks to put excitement in my life.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_43","Integer","","Recommended","43. I make lists of things to do.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_44","Integer","","Recommended","44. I often follow my heart more than my head.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_45","Integer","","Recommended","45. I am able to resist temptations when I know that there is work to be done.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_46","Integer","","Recommended","46. I find myself getting swept up in the excitement of the moment.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_47","Integer","","Recommended","47. Life today is too complicated; I would prefer the simpler life of the past.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_48","Integer","","Recommended","48. I prefer friends who are spontaneous rather than predictable.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_49","Integer","","Recommended","49. I like family rituals and traditions that are regularly repeated.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
"ztpi_50","Integer","","Recommended","50. I think about the bad things that have happened to me in the past.","1::5;9999","1= (Very Untrue); 2= (Untrue); 3= (Neutral); 4= (True); 5= (Very True); 9999= I do not wish to answer this question",""
