"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"amidm1","Integer","","Recommended","I have spent time trying to find out more about the United States, such as its history, traditions, and customs","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm2","Integer","","Recommended","I am active in organizations or social groups that include mostly Americans","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm3","Integer","","Recommended","I have a clear sense of the United States and what being American means for me","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm4","Integer","","Recommended","I think a lot about how my life will be affected by being American","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm5","Integer","","Recommended","I am happy that I am an American","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm6","Integer","","Recommended","I have a strong sense of belonging to the United States","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm7","Integer","","Recommended","I understand pretty well what being American means to me","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm8","Integer","","Recommended","In order to learn more about being American, I have often talked to other people about the United States","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm9","Integer","","Recommended","I have a lot of pride in the United States","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm10","Integer","","Recommended","I participate in cultural practices of the United States, such as special food, music, or customs","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm11","Integer","","Recommended","I feel a strong attachment towards the United States","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm12","Integer","","Recommended","I feel good about being American","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
"amidm13","Integer","","Recommended","I have often done things that will help me understand the United States better","1::5","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree",""
