"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"body_trust_cob1","Integer","","Recommended","My body is trustworthy","1::7","1=Strongly Disagree; 2=Moderately Disagree; 3=Slightly Disagree; 4=Neither Agree nor Disagree; 5=Slightly Agree; 6=Moderately Disagree; 7=Strongly Agree",""
"body_trust_cob2","Integer","","Recommended","My body supports me","1::7","1=Strongly Disagree; 2=Moderately Disagree; 3=Slightly Disagree; 4=Neither Agree nor Disagree; 5=Slightly Agree; 6=Moderately Disagree; 7=Strongly Agree",""
"body_trust_cob3","Integer","","Recommended","My body functions as I want it to","1::7","1=Strongly Disagree; 2=Moderately Disagree; 3=Slightly Disagree; 4=Neither Agree nor Disagree; 5=Slightly Agree; 6=Moderately Disagree; 7=Strongly Agree",""
"body_trust_cob4","Integer","","Recommended","My body is reliable","1::7","1=Strongly Disagree; 2=Moderately Disagree; 3=Slightly Disagree; 4=Neither Agree nor Disagree; 5=Slightly Agree; 6=Moderately Disagree; 7=Strongly Agree",""
"body_trust_cob5","Integer","","Recommended","I can count on my body in daily life","1::7","1=Strongly Disagree; 2=Moderately Disagree; 3=Slightly Disagree; 4=Neither Agree nor Disagree; 5=Slightly Agree; 6=Moderately Disagree; 7=Strongly Agree",""
"body_trust_pa1","Integer","","Recommended","My body doesn't fit in with what society considers attractive","1::7","For scoring purposes, item is reverse-scored; 1=Strongly Disagree; 2=Moderately Disagree; 3=Slightly Disagree; 4=Neither Agree nor Disagree; 5=Slightly Agree; 6=Moderately Disagree; 7=Strongly Agree",""
"body_trust_pa2","Integer","","Recommended","I personally don't consider my body attractive","1::7","For scoring purposes, item is reverse-scored; 1=Strongly Disagree; 2=Moderately Disagree; 3=Slightly Disagree; 4=Neither Agree nor Disagree; 5=Slightly Agree; 6=Moderately Disagree; 7=Strongly Agree",""
"body_trust_pa3","Integer","","Recommended","The size and shape of my body is uncomfortable to me","1::7","For scoring purposes, item is reverse-scored; 1=Strongly Disagree; 2=Moderately Disagree; 3=Slightly Disagree; 4=Neither Agree nor Disagree; 5=Slightly Agree; 6=Moderately Disagree; 7=Strongly Agree",""
"body_trust_cis1","Integer","","Recommended","Physical sensations in my body make me nervous/uncomfortable","1::7","For scoring purposes, item is reverse-scored; 1=Strongly Disagree; 2=Moderately Disagree; 3=Slightly Disagree; 4=Neither Agree nor Disagree; 5=Slightly Agree; 6=Moderately Disagree; 7=Strongly Agree",""
"body_trust_cis2","Integer","","Recommended","Physical sensations in my body make me think something is wrong","1::7","For scoring purposes, item is reverse-scored; 1=Strongly Disagree; 2=Moderately Disagree; 3=Slightly Disagree; 4=Neither Agree nor Disagree; 5=Slightly Agree; 6=Moderately Disagree; 7=Strongly Agree",""
"body_trust_cis3","Integer","","Recommended","I have a difficult time enjoying myself when I notice physical sensations in my body","1::7","For scoring purposes, item is reverse-scored; 1=Strongly Disagree; 2=Moderately Disagree; 3=Slightly Disagree; 4=Neither Agree nor Disagree; 5=Slightly Agree; 6=Moderately Disagree; 7=Strongly Agree",""
"body_trust_cobscore","Integer","","Recommended","Comfort with One's Body score","5::35","Sum of body_trust_cob items",""
"body_trust_pascore","Integer","","Recommended","Physical Attractiveness score","3::21","Sum of body_trust_pa items (note items are all reverse-scored)",""
"body_trust_cisscore","Integer","","Recommended","Comfort with Internal Sensations score","3::21","Sum of body_trust_cis items (note items are all reverse-scored)",""
