"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"esi_1","Integer","","Recommended","I have had problems at work because I was irresponsible.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_2","Integer","","Recommended","I enjoy pushing people around sometimes.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_3","Integer","","Recommended","Things are more fun if a little danger is involved.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_4","Integer","","Recommended","I've enjoyed getting drunk now and then, just for fun.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_5","Integer","","Recommended","I sympathize with others' problems.I have lied to avoid paying back loans.","0 :: 3","0 = True; 1 = Somewhat true; 2 = Somewhat false; 3 = False",""
"esi_6","Integer","","Recommended","I have lied to avoid paying back loans.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_7","Integer","","Recommended","I have snorted drugs.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_8","Integer","","Recommended","I've had urges to use marijuana that were hard to resist.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_9","Integer","","Recommended","I have stolen something out of a vehicle.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_10","Integer","","Recommended","I get in trouble for not considering the consequences of my actions.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_11","Integer","","Recommended","I've smoked marijuana at parties.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_12","Integer","","Recommended","I control myself and think before I do something.","0 :: 3","0 = True; 1 = Somewhat true; 2 = Somewhat false; 3 = False",""
"esi_13","Integer","","Recommended","I've been hurt so many times I can't trust anymore.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_14","Integer","","Recommended","People I've worked for would describe me as highly reliable.","0 :: 3","0 = True; 1 = Somewhat true; 2 = Somewhat false; 3 = False",""
"esi_15","Integer","","Recommended","I don't see any point in worrying if what I do hurts someone else.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_16","Integer","","Recommended","Others have told me I'm a rebellious person.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_17","Integer","","Recommended","I have brought a weapon into a fight.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_18","Integer","","Recommended","I have borrowed money with no thought of paying it back.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_19","Integer","","Recommended","I have missed work without bothering to call in.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_20","Integer","","Recommended","After trying to cut down on alcohol, I've had physical problems like sweating or feeling shaky.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_21","Integer","","Recommended","My drug use led to problems at work or school.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_22","Integer","","Recommended","I've injured people to see them in pain.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_23","Integer","","Recommended","I've gone out of my way to get marijuana.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_24","Integer","","Recommended","I sometimes insult people on purpose to get a reaction from them.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_25","Integer","","Recommended","I feel bored a lot of the time.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_26","Integer","","Recommended","It doesn't bother me to see someone else in pain.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_27","Integer","","Recommended","I have enjoyed smoking marijuana with friends.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_28","Integer","","Recommended","I have taken money from someone's purse or wallet without asking.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_29","Integer","","Recommended","I've quit a job without giving two weeks notice.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_30","Integer","","Recommended","I get blamed for things that I don't do.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_31","Integer","","Recommended","I don't drink.","0 :: 3","0 = True; 1 = Somewhat true; 2 = Somewhat false; 3 = False",""
"esi_32","Integer","","Recommended","I have gotten things from people by making them feel sorry for me.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_33","Integer","","Recommended","I have taken a drug like LSD or magic mushrooms.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_34","Integer","","Recommended","I seek out thrills almost everywhere I go.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_35","Integer","","Recommended","I don't lie very much.","0 :: 3","0 = True; 1 = Somewhat true; 2 = Somewhat false; 3 = False",""
"esi_36","Integer","","Recommended","Others have told me they are concerned about my lack of self-control.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_37","Integer","","Recommended","I've used downers like Valium or Xanax for non-medical reasons.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_38","Integer","","Recommended","Most of the time, I have good self control.","0 :: 3","0 = True; 1 = Somewhat true; 2 = Somewhat false; 3 = False",""
"esi_39","Integer","","Recommended","I have used a weapon against someone who insulted me.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_40","Integer","","Recommended","It doesn't bother me when people around me are hurting.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_41","Integer","","Recommended","I often get bored quickly and lose interest.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_42","Integer","","Recommended","I've often ended up drinking more than I should.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_43","Integer","","Recommended","I usually let people know when I'll be late.","0 :: 3","0 = True; 1 = Somewhat true; 2 = Somewhat false; 3 = False",""
"esi_44","Integer","","Recommended","I have taken items from a store without paying for them.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_45","Integer","","Recommended","I've let people down who trusted me.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_46","Integer","","Recommended","I gave up things I used to enjoy because of drugs.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_47","Integer","","Recommended","When I want something, I want it right now.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_48","Integer","","Recommended","I taunt people just to stir things up.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_49","Integer","","Recommended","I've gotten in trouble because I missed too much school.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_50","Integer","","Recommended","I've gotten drunk.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_51","Integer","","Recommended","I often disobey rules.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_52","Integer","","Recommended","I have tried smoking marijuana.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_53","Integer","","Recommended","I've lost control of my alcohol use.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_54","Integer","","Recommended","I have hit someone in the face or head in anger.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_55","Integer","","Recommended","I have never bought drugs.","0 :: 3","0 = True; 1 = Somewhat true; 2 = Somewhat false; 3 = False",""
"esi_56","Integer","","Recommended","I have damaged someone's things because it was exciting.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_57","Integer","","Recommended","I gave up things I used to enjoy because of marijuana.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_58","Integer","","Recommended","I have lied to get someone to sleep with me.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_59","Integer","","Recommended","I let others know if I'm running behind.","0 :: 3","0 = True; 1 = Somewhat true; 2 = Somewhat false; 3 = False",""
"pai_a_217","Integer","","Recommended","My drinking alcohol has caused me problems at home.","1 :: 4; 88","1 = False, Not at All True; 2 = Slightly True; 3 = Mainly True; 4 = Very True","esi_60"
"esi_61","Integer","","Recommended","I return insults.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_62","Integer","","Recommended","I have broken into a house, school, or other building.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_63","Integer","","Recommended","I enjoy a good physical fight.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_64","Integer","","Recommended","I've used drugs when it might be hazardous, like while driving a car.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_65","Integer","","Recommended","People often abuse my trust.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_66","Integer","","Recommended","I quickly get bored if I don't have something to do.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_67","Integer","","Recommended","I've gone on drinking binges.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_68","Integer","","Recommended","One or more times in my life, I have beaten someone up for bothering me","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_69","Integer","","Recommended","I hate waiting to get things that I want.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_70","Integer","","Recommended","I have spread rumors about people who were competing with me.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
"esi_71","Integer","","Recommended","Even when I don't do anything wrong, I still get blamed for it.","0 :: 3","0 = False; 1 = Somewhat false; 2 = Somewhat true; 3 = True",""
