"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"ids__01","Integer","","Recommended","Listed are situations in which some people drink heavily. Out with friends and they stopped by bar","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__02","Integer","","Recommended","Listed are situations in which some people drink heavily. Having fun","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__03","Integer","","Recommended","Listed are situations in which some people drink heavily. With friends and want to relax and enjoy","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__04","Integer","","Recommended","Listed are situations in which some people drink heavily. Afraid things weren't going to work out","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__05","Integer","","Recommended","Listed are situations in which some people drink heavily. Feeling hopeless","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__06","Integer","","Recommended","Listed are situations in which some people drink heavily. Parties/celebration with others","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__07","Integer","","Recommended","Listed are situations in which some people drink heavily. Under heavy pressure","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__08","Integer","","Recommended","Listed are situations in which some people drink heavily. Good friends come by and wanted to feel comfortable","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__09","Integer","","Recommended","Listed are situations in which some people drink heavily. Unsure whether others' expectations are fulfilled","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__10","Integer","","Recommended","Listed are situations in which some people drink heavily. Feeling upset","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__11","Integer","","Recommended","Listed are situations in which some people drink heavily. Criticized by others","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__12","Integer","","Recommended","Listed are situations in which some people drink heavily. At restaurants and others ordered drinks","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__13","Integer","","Recommended","Listed are situations in which some people drink heavily. Out with friends and wanted to have more fun","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__14","Integer","","Recommended","Listed are situations in which some people drink heavily. Nothing you do seems right","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__15","Integer","","Recommended","Listed are situations in which some people drink heavily. Disappointment across the board","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__16","Integer","","Recommended","Listed are situations in which some people drink heavily. Something good happened and I felt like celebrating","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__17","Integer","","Recommended","Listed are situations in which some people drink heavily. Life is too much","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__18","Integer","","Recommended","Listed are situations in which some people drink heavily. Friend proposes that we drink together","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__19","Integer","","Recommended","Listed are situations in which some people drink heavily. Celebrate with friend","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__20","Integer","","Recommended","Listed are situations in which some people drink heavily. Nobody cares what's going on with me","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__21","Integer","","Recommended","Listed are situations in which some people drink heavily. Celebrate special occasions","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__22","Integer","","Recommended","Listed are situations in which some people drink heavily. Feeling guilty","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__23","Integer","","Recommended","Listed are situations in which some people drink heavily. Want to increase fun with friends","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__24","Integer","","Recommended","Listed are situations in which some people drink heavily. Depressed about life in general","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__25","Integer","","Recommended","Listed are situations in which some people drink heavily. Treated unfairly by others","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__26","Integer","","Recommended","Listed are situations in which some people drink heavily. Offered alcohol at someone's house","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__27","Integer","","Recommended","Listed are situations in which some people drink heavily. Want to enhance fun at party","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__28","Integer","","Recommended","Listed are situations in which some people drink heavily. Missed opportunities in life","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__29","Integer","","Recommended","Listed are situations in which some people drink heavily. Rejected by friends","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"ids__30","Integer","","Recommended","Listed are situations in which some people drink heavily. Want a drink to increase enjoyment while eating with friends","0::3;-99","0=Never drank heavily; 1=Rarely drank heavily; 2= Often drank heavily; 3= Always drank heavily; -99= missing",""
"idsreward","Integer","","Recommended","Sum of items 1, 2, 3, 6, 8, 12, 13, 16, 18, 19, 21, 23, 26, 27, and 30","0::45;-99","-99=Missing",""
"idsrelief","Integer","","Recommended","Sum of items 4, 5, 7, 9, 10, 11, 14, 15, 17, 20, 22, 24, 25, 28, and 29","0::45;-99","-99=Missing",""
