"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"paces_1_v2","Integer","","Recommended","When you were growing up, prior to your 18th birthday: Did you have someone who loved you unconditionally (you did not doubt that they cared about you)?","0;1","0=No; 1=Yes",""
"paces_2_v2","Integer","","Recommended","When you were growing up, prior to your 18th birthday: Did you have at least one best friend (someone you could trust, had fun with)?","0;1","0=No; 1=Yes",""
"paces_3_v2","Integer","","Recommended","When you were growing up, prior to your 18th birthday: Did you do anything regularly to help others (e.g., volunteer at a hospital, nursing home, church) or do special projects in the community to help others (food drives, Habitat for Humanity)?","0;1","0=No; 1=Yes",""
"paces_4_v2","Integer","","Recommended","When you were growing up, prior to your 18th birthday: Were you regularly involved in organized sports groups (e.g., soccer, basketball, track) or other physical activity (e.g., competitive cheer, gymnastics, dance, marching band)?","0;1","0=No; 1=Yes",""
"paces_5_v2","Integer","","Recommended","When you were growing up, prior to your 18th birthday: Were you an active member of at least one civic group or a non- sport social group such as scouts, church, or youth group?","0;1","0=No; 1=Yes",""
"paces_6_v2","Integer","","Recommended","When you were growing up, prior to your 18th birthday: Did you have an engaging hobby -- an artistic or intellectual pastime either alone or in a group (e.g., chess club, debate team, musical instrument or vocal group, theater, spelling bee, or did you read a lot)?","0;1","0=No; 1=Yes",""
"paces_7_v2","Integer","","Recommended","When you were growing up, prior to your 18th birthday: Was there an adult (not your parent) you trusted and could count on when you needed help or advice (e.g., coach, teacher, minister, neighbor, relative)?","0;1","0=No; 1=Yes",""
"paces_8_v2","Integer","","Recommended","When you were growing up, prior to your 18th birthday: Was your home typically clean AND safe with enough food to eat?","0;1","0=No; 1=Yes",""
"paces_9_v2","Integer","","Recommended","When you were growing up, prior to your 18th birthday: Overall, did your schools provide the resources and academic experiences you needed to learn?","0;1","0=No; 1=Yes",""
"paces_10_v2","Integer","","Recommended","When you were growing up, prior to your 18th birthday: In your home, were there rules that were clear and fairly administered?","0;1","0=No; 1=Yes",""
