"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"darbaq_q1","Integer","","Recommended","Does you child: Rock their body, either when standing or sitting?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q2","Integer","","Recommended","Does you child: Spin and/or run in circles?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q3","Integer","","Recommended","Does you child: Repeatedly jumps up and down?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q4","Integer","","Recommended","Does you child: Flap arms or hands?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q5","Integer","","Recommended","Does you child: Make repetitive hand and/or finger movements? For example, hand waving, hand opening/closing, clapping, or hand or finger twirling, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q6","Integer","","Recommended","Does you child: Pace or move around repeatedly? For example, walks back and forth across the room or around the same path in the backyard, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q7","Integer","","Recommended","Does you child: Repetitively manipulate toys or objects? For example, shaking, tapping or twirling toys, pens or other objects, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q8","Integer","","Recommended","Does you child: Have a stronger interest in specific parts of a toy rather than the toy itself? For example, spins the wheels of a toy car rather than use it as intended, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q9","Integer","","Recommended","Does you child: Watch things spin? For example, fans, toy cars, or wheels, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q10","Integer","","Recommended","Does you child: Look at objects from the corner of their eyes?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q11","Integer","","Recommended","Does you child: Insist that particular activities have to take place at the exact same time of the day regardless of the situation or context?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q12","Integer","","Recommended","Does you child: Have specific morning routines when preparing for a day care or school that have to be followed?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q13","Integer","","Recommended","Does you child: Have a bedtime routine? For example, they have to have certain items with them when going to bed or the same person has to be present either prior to or during the sleep, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q14","Integer","","Recommended","Does you child: Have particular routines during play or leisure time? For example, always going to the same park/playground, playing the same game or always going with the same peers or adults, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q15","Integer","","Recommended","Does you child: Insist that other people have to behave in a specific way or according to a rigid set of rules during particular activities? For example, when playing a game, in household activities, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q16","Integer","","Recommended","Does you child: Insist that objects in the house such as furniture, appliances or toys always need to remain in the same place?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q17","Integer","","Recommended","Does you child: Insist on doing things the same way each time?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q18","Integer","","Recommended","Does you child: Notice if things are not symmetrical or even? For example, they notice if the painting on the wall is not straight.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q19","Integer","","Recommended","Does you child: Insist on doing certain things in a specific way? For example, they always have to dress for school in a very specific order, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q20","Integer","","Recommended","Does you child: Insist that you or other people have to behave in a ''just right'' manner in specific situations? For example, if you are sitting on a chair, your legs have to be crossed, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q21","Integer","","Recommended","Does you child: Pull or twist their hair forcefully so that it results in loss of hair?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q22","Integer","","Recommended","Does you child: Repetitively bite nails or skin on their fingers?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q23","Integer","","Recommended","Does you child: Repetitively scratch themselves for longer periods of time?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q24","Integer","","Recommended","Does you child: Forcefully scratch themselves so that it results in significant scratches, tissue damage or bleeding?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q25","Integer","","Recommended","Does you child: Repetitively bite their lips or inner cheeks without significant tissue damage or bleeding?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q26","Integer","","Recommended","Does you child: Repetitively bite their lips or inner cheeks so that it results in tissue damage/bleeding?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q27","Integer","","Recommended","Does you child: Pull their eyebrows or eyelashes?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q28","Integer","","Recommended","Does you child: Pick skin? For example, from their hands or face.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q29","Integer","","Recommended","Does you child: Repetitively twirl with their hair?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q30","Integer","","Recommended","Does you child: React more strongly than other people to loud or sudden noises?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q31","Integer","","Recommended","Does you child: Get distracted by certain sounds that others either don't notice or don't mind? For example, low-level buzzing coming from lights or electrical appliances, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q32","Integer","","Recommended","Does you child: Have sensitivity to bright or flickering lights that other people either don't notice or don't mind?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q33","Integer","","Recommended","Does you child: Get bothered by clothes made of certain materials or by tags in clothes?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q34","Integer","","Recommended","Does you child: Refuse to eat certain foods because of the texture?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q35","Integer","","Recommended","Does you child: React more strongly to touch than other people?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q36","Integer","","Recommended","Does you child: Avoid or react negatively to strong or specific smells that other people don't mind? For example, the smell of particular food items, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q37","Integer","","Recommended","Does you child: Avoid environments with too much going on? For example, dislikes going to supermarkets, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q38","Integer","","Recommended","Does you child: Eat the same food (or limited range of food items) and/or drink the same beverages?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q39","Integer","","Recommended","Does you child: Have a strong preference/attachment to a particular object that they tend to always carry around?","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q40","Integer","","Recommended","Does you child: Have fascination/strong interest in specific object/groups of objects just because of their visual properties? For example, because of a particular shape, color or texture, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q41","Integer","","Recommended","Does you child: Collect unusual items? For example, bottles, bags, pieces of paper, sticks, or nails, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q42","Integer","","Recommended","Does you child: Have an intense interest or attachment to a particular ''favorite'' person (a teacher, peer cousin, etc.)? For example, they continually talk about that person and ask to see or speak to them, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q43","Integer","","Recommended","Does you child: Have a fascination with a specific number? For example, everything that has to do with the number 22, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
"darbaq_q44","Integer","","Recommended","Does you child: Have a fascination with dates and/or time? For example, they memorize everyone's date of birth or memorize timetables, etc.","1::5","1= Not at all a Problem; 2= A Slight Problem; 3= Moderate Problem; 4= Serious Problem; 5= Very Serious/Extreme Problem",""
