"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"dpes_01","Integer","","Recommended","I often feel bursts of joy","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q02"
"dpes_02","Integer","","Recommended","I am an intensely cheerful person.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q13"
"dpes_03","Integer","","Recommended","I am often completely overjoyed when something good happens.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q24"
"dpes_04","Integer","","Recommended","On a typical day, many events make me happy.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q46"
"dpes_05","Integer","","Recommended","Good things happen to me all the time.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q57"
"dpes_06","Integer","","Recommended","My life is always improving.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q68"
"dpes_07","Integer","","Recommended","I am generally a contented person.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q01"
"dpes_08","Integer","","Recommended","I am at peace with my life.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q12"
"dpes_09","Integer","","Recommended","When I think about my life I experience a deep feeling of contentment.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q23"
"dpes_10","Integer","","Recommended","I feel satisfied more often than most people.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q34"
"dpes_11","Integer","","Recommended","My life is very fulfilling.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q45"
"dpes_12","Integer","","Recommended","I feel good about myself.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q07"
"dpes_13","Integer","","Recommended","I am proud of myself and my accomplishments.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q29"
"dpes_14","Integer","","Recommended","Many people respect me.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q40"
"dpes_15","Integer","","Recommended","I always stand up for what I believe.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q51"
"dpes_16","Integer","","Recommended","People usually recognize my authority.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q62"
"dpes_17","Integer","","Recommended","Other people are generally trustworthy.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q04"
"dpes_18","Integer","","Recommended","I develop strong feelings of closeness to people easily.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q15"
"dpes_19","Integer","","Recommended","I find it easy to trust others.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q26"
"dpes_20","Integer","","Recommended","I can depend on people when I need help.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q37"
"dpes_21","Integer","","Recommended","People are usually considerate of my needs and feelings","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q48"
"dpes_22","Integer","","Recommended","I love many people.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q59"
"dpes_23","Integer","","Recommended","It's important to take care of people who are vulnerable.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q17"
"dpes_24","Integer","","Recommended","When I see someone hurt or in need, I feel a powerful urge to take care of them.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q28"
"dpes_25","Integer","","Recommended","Taking care of others gives me a warm feeling inside.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q39"
"dpes_26","Integer","","Recommended","I often notice people who need help.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q50"
"dpes_27","Integer","","Recommended","I am a very compassionate person.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q61"
"dpes_28","Integer","","Recommended","I find humor in almost everything.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q09"
"dpes_29","Integer","","Recommended","I really enjoy teasing people I care about.","1::7","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Equally agree and disagree; 5=Slightly agree; 6=Agree; 7=Strongly agree","dpes75_q20"
