"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"socdev1","Integer","","Recommended","My friends work hard to get good grades in school.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev2","Integer","","Recommended","My friends break the rules.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev3","Integer","","Recommended","My friends are popular with other kids.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev4","Integer","","Recommended","My friends drink alcohol and beer.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev5","Integer","","Recommended","My friends are very smart.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev6","Integer","","Recommended","My friends get into trouble with the police.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev7","Integer","","Recommended","My friends are good at sports.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev8","Integer","","Recommended","My friends smoke cigarettes or chew tobacco.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev9","Integer","","Recommended","My friends do their homework and study a lot.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev10","Integer","","Recommended","My friends steal things from others.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev11","Integer","","Recommended","My friends use drugs.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev12","Integer","","Recommended","My friends get good grades in school.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev13","Integer","","Recommended","My friends get into fights with other kids.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev14","Integer","","Recommended","Other kids look up to (respect) my friends.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev15","Integer","","Recommended","My friends know where to buy drugs.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev16","Integer","","Recommended","My friends are liked by their teachers.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
"socdev17","Integer","","Recommended","My friends get into trouble a lot at school.","0::3","0=None of my friends; 1=A few of my friends; 2=Most of my friends; 3 =All of my friends",""
