"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"zkpaq_01","Integer","","Recommended","If I have to resort to violence to defend my rights, I can do it","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_02","Integer","","Recommended","I enjoy the sensations of speeding in a car.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_03","Integer","","Recommended","Other people know me by the long hours I keep.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_04","Integer","","Recommended","I am usually happy.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_05","Integer","","Recommended","I often feel restless for no apparent reason","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_06","Integer","","Recommended","When I disagree with my friends, I argue openly with them.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_07","Integer","","Recommended","I would like to take off on a trip with no pre-planned or definite routes or timetables.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_08","Integer","","Recommended","I like to be constantly busy doing things.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_09","Integer","","Recommended","Others think that I am an affectionate person.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_10","Integer","","Recommended","I often feel like crying.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_11","Integer","","Recommended","Some of my friends think I am quick-tempered.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_12","Integer","","Recommended","I'll try anything once.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_13","Integer","","Recommended","I eat more slowly than most people.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly. Reverse scoring: (4 = 1)(3 = 2)(2 = 3)(1 = 4)",""
"zkpaq_14","Integer","","Recommended","I like to entertain others in social gatherings.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_15","Integer","","Recommended","I tend to be oversensitive and easily hurt by thoughtless remarks and actions of others.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_16","Integer","","Recommended","I am not at all a bitter person.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly. Reverse scoring: (4 = 1)(3 = 2)(2 = 3)(1 = 4)",""
"zkpaq_17","Integer","","Recommended","I prefer friends who are excitingly unpredictable.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_18","Integer","","Recommended","When there's a job to be done, I devote all my energy to getting it done.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_19","Integer","","Recommended","I am a very sociable person.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_20","Integer","","Recommended","I sometimes fear I am not up to life's challenges.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_21","Integer","","Recommended","If I am pushed far enough, I might hit another person.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_22","Integer","","Recommended","I like some physical activities that are somewhat risky.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_23","Integer","","Recommended","My peers know I'm in the office early and always leave late.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_24","Integer","","Recommended","I am usually in a good mood.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_25","Integer","","Recommended","Often I feel uneasy.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_26","Integer","","Recommended","I would rather concede an argument than argue about it.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly. Reverse scoring: (4 = 1)(3 = 2)(2 = 3)(1 = 4)",""
"zkpaq_27","Integer","","Recommended","I enjoy getting into new situations where you can't predict how things will turn out.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_28","Integer","","Recommended","I do not like to waste time just sitting down relaxing.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_29","Integer","","Recommended","Others say that I am a warm person.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_30","Integer","","Recommended","I sometimes feel depressed.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_31","Integer","","Recommended","I am a gentle person and not at all a hot-tempered one.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly. Reverse scoring: (4 = 1)(3 = 2)(2 = 3)(1 = 4)",""
"zkpaq_32","Integer","","Recommended","I like ""wild"" uninhibited parties.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_33","Integer","","Recommended","I often do several things at the same time (eat, read, write, listen to music, watch TV).","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_34","Integer","","Recommended","I enjoy speaking in public.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_35","Integer","","Recommended","After buying something I often worry about having made the wrong choice.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_36","Integer","","Recommended","I wonder why I sometimes feel so hostile towards the people around me.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_37","Integer","","Recommended","I get restless if I have to stay around home for any length of time.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_38","Integer","","Recommended","I work at my full capacity when it comes to my work.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_39","Integer","","Recommended","I have a rich social life.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_40","Integer","","Recommended","I am not very confident about myself or my abilities.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_41","Integer","","Recommended","If somebody hits me, I hit them back.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_42","Integer","","Recommended","I prefer fast-moving physical activities or sports.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_43","Integer","","Recommended","My work is important to me.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_44","Integer","","Recommended","I am pleasantly excited by many events in my life.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_45","Integer","","Recommended","I am a very nervous person.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_46","Integer","","Recommended","When people annoy me, I tell them what I think of them.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_47","Integer","","Recommended","I would like the kind of life where one is on the move and travelling a lot, with lots of change and excitement.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_48","Integer","","Recommended","I can enjoy myself just lying around and doing nothing.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly. Reverse scoring: (4 = 1)(3 = 2)(2 = 3)(1 = 4)",""
"zkpaq_49","Integer","","Recommended","I am an open and pleasant person.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_50","Integer","","Recommended","Negative thoughts sometimes obsess me.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_51","Integer","","Recommended","I keep my temper under good control.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly. Reverse scoring: (4 = 1)(3 = 2)(2 = 3)(1 = 4)",""
"zkpaq_52","Integer","","Recommended","I like to let myself go and do impulsive things just for fun.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_53","Integer","","Recommended","When I have to queue at a restaurant, shop or bank, I am calm about it.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly. Reverse scoring: (4 = 1)(3 = 2)(2 = 3)(1 = 4)",""
"zkpaq_54","Integer","","Recommended","Others think that I am fun.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
"zkpaq_55","Integer","","Recommended","Without help from others I sometimes find it difficult to carry out my plans.","1::4","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Agree somewhat; 4 = Agree Strongly",""
