"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cfni_01","Integer","","Recommended","I would be happier if I was thinner.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_02","Integer","","Recommended","It is important to keep your living space clean.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_03","Integer","","Recommended","I spend more than 30 minutes a day doing my hair and make-up.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_04","Integer","","Recommended","I tell everyone about my accomplishments.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_05","Integer","","Recommended","I clean my home on a regular basis.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_06","Integer","","Recommended","I feel attractive without makeup.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_07","Integer","","Recommended","I believe that my friendships should be maintained at all costs.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_08","Integer","","Recommended","I find children annoying.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_09","Integer","","Recommended","I would feel guilty if I had a one night stand.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_10","Integer","","Recommended","When I succeed, I tell my friends about it.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_11","Integer","","Recommended","Having a romantic relationship is essential in life.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_12","Integer","","Recommended","I enjoy spending time making my living space look nice.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_13","Integer","","Recommended","Being nice to others is extremely important.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_14","Integer","","Recommended","I regularly wear makeup.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_15","Integer","","Recommended","I don't go out of my way to keep in touch with friends.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_16","Integer","","Recommended","Most people enjoy children more than I do.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_17","Integer","","Recommended","I would like to lose a few pounds.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_18","Integer","","Recommended","It is not necessary to be in a committed relationship to have sex.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_19","Integer","","Recommended","I hate telling people about my accomplishments.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_20","Integer","","Recommended","I get ready in the morning without looking in the mirror very much.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_21","Integer","","Recommended","I would feel burdened if I had to maintain a lot of friendships.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_22","Integer","","Recommended","I would feel comfortable having casual sex.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_23","Integer","","Recommended","I make it a point to get together with my friends regularly.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_24","Integer","","Recommended","I always downplay my achievements.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_25","Integer","","Recommended","Being in a romantic relationship is important.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_26","Integer","","Recommended","I don't care if my living space looks messy.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_27","Integer","","Recommended","I never wear makeup.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_28","Integer","","Recommended","I always try to make people feel special.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_29","Integer","","Recommended","I am not afraid to tell people about my achievements.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_30","Integer","","Recommended","My life plans do not rely on my having a romantic relationship.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cfni_31","Integer","","Recommended","I am always trying to lose weight.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
