"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"political1_1","Integer","","Recommended","W1: To what extent during the last 12 months have you been engaged in political activities such as signing petitions or writing to political representatives?","0::4;99","0 = Not at all; 1 = A little; 2 = Some; 3 = Quite a bit; 4 = A lot; 99=No data",""
"political2_1","Integer","","Recommended","W1: To what extent during the last 12 months have you organized with others to challenge politicians currently in office (e.g., by participating in rallies or marches)?","0::4;99","0 = Not at all; 1 = A little; 2 = Some; 3 = Quite a bit; 4 = A lot; 99=No data",""
"political3_1","Integer","","Recommended","W1: To what extent during the last 12 months have you voted in elections to support politicians who share your political beliefs?","0::4;99","0 = Not at all; 1 = A little; 2 = Some; 3 = Quite a bit; 4 = A lot; 99=No data",""
"political4_1","Integer","","Recommended","W1: To what extent during the last 12 months have you participated in groups trying to influence the policies of the government at the local, state, or national level?","0::4;99","0 = Not at all; 1 = A little; 2 = Some; 3 = Quite a bit; 4 = A lot; 99=No data",""
"political5_1","Integer","","Recommended","W1: To what extent during the last 12 months have you been involved in a union or in organizing a union?","0::4;99","0 = Not at all; 1 = A little; 2 = Some; 3 = Quite a bit; 4 = A lot; 99=No data",""
"varlabpoliticaltotscore_1","Integer","","Recommended","W1: Political 5-item Total Score","0::20;99","Sum of political1_1 through political5_1; 99=No data",""
"timepoint_wave","Integer","","Recommended","Timepoint Wave data collected","1::3","1 = Wave 1; 2 = Wave 2; 3 = Wave 3","timepoint"
