"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"wassup_1","Integer","","Recommended","Goal set for yourself: Celebrities will want to be your friends","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_2","Integer","","Recommended","Goal set for yourself: Each day of your work will be fulfilling","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_3","Integer","","Recommended","Goal set for yourself: Everyone you know will love you","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_4","Integer","","Recommended","Goal set for yourself: Someone will write a book about your life","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_5","Integer","","Recommended","Goal set for yourself: Whenever you have a problem, your friends will drop what they are doing to support you","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_6","Integer","","Recommended","Goal set for yourself: You will appear regularly on TV","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_7","Integer","","Recommended","Goal set for yourself: You will be famous","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_8","Integer","","Recommended","Goal set for yourself: You will be important in political circles","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_9","Integer","","Recommended","Goal set for yourself: You will be on a magazine list of the sexiest people alive","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_10","Integer","","Recommended","Goal set for yourself: You will be president of your country","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_11","Integer","","Recommended","Goal set for yourself: You will create a great work of art, music, or poetry","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_12","Integer","","Recommended","Goal set for yourself: You will create world peace","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_13","Integer","","Recommended","Goal set for yourself: You will develop a TV show or a movie","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_14","Integer","","Recommended","Goal set for yourself: You will do only things you really like to do, and nothing else","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_15","Integer","","Recommended","Goal set for yourself: You will enjoy every day to the max","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_16","Integer","","Recommended","Goal set for yourself: You will have 10 close friends","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_17","Integer","","Recommended","Goal set for yourself: You will have 100 friends","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_18","Integer","","Recommended","Goal set for yourself: You will have 20 million dollars or more","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_19","Integer","","Recommended","Goal set for yourself: You will have 40 close friends","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_20","Integer","","Recommended","Goal set for yourself: You will have a major role in a movie","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_21","Integer","","Recommended","Goal set for yourself: You will have a million dollars or more","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_22","Integer","","Recommended","Goal set for yourself: You will have more than 50 lovers in your lifetime","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_23","Integer","","Recommended","Goal set for yourself: You will have the closest family relationships imaginable","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_24","Integer","","Recommended","Goal set for yourself: You will run a Fortune 500 company","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_25","Integer","","Recommended","Goal set for yourself: You will self-actualize or reach Nirvana","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_26","Integer","","Recommended","Goal set for yourself: You will stop world hunger","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_27","Integer","","Recommended","Goal set for yourself: You will write a popular book","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_28","Integer","","Recommended","Goal set for yourself: Your children will see you as the perfect parent","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_29","Integer","","Recommended","Goal set for yourself: Your partner relationship will be sheer bliss for years","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_30","Integer","","Recommended","Goal set for yourself: Your relationship will be more romantic than Romeo and Juliet","1::5;-9","1=NO CHANCE I will set this goal for myself; 2=Slight chance I will set this goal for myself; 3=Moderate chance I will set this goal for myself; 4=Very good chance I will set this goal for myself; 5=Definitely WILL set this goal for myself; -9=Missing",""
"wassup_fame","Integer","","Recommended","WASSUP - Popular Fame score","7::35","Sum of items 1, 4, 6, 7, 9, 13, 20",""
"wassup_partfam","Integer","","Recommended","WASSUP - Partner and Family score","5::25","Sum of items 15, 23, 28, 29, 30",""
"wassup_world","Integer","","Recommended","WASSUP - World Well-being score","2::10","Sum of items 12 and 26",""
"wassup_politic","Integer","","Recommended","WASSUP - Political Influence score","2::10","Sum of items 8 and 10",""
"wassup_friend","Integer","","Recommended","WASSUP - Friends score","5::25","Sum of items 3, 5, 16, 17, 19",""
"wassup_finance","Integer","","Recommended","WASSUP - Financial Success score","4::20","Sum of items 18, 21, 22, 24",""
"wassup_create","Integer","","Recommended","WASSUP - Creation/Fulfillment score","5::25","Sum of items 2, 11, 14, 25, 27",""
