"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"ndc_weekend","Integer","","Recommended","Weekend of observation (1st, 2nd, 3rd, 4th)","1::4","1 = First weekend; 2 = Second weekend; 3 = Third weekend; 4 = Fourth weekend",""
"ndc_day","Integer","","Recommended","Day of weekend about which survey questions are asked (Friday or Saturday night drinking behaviors, contexts, and consequences)","0;1","0=Friday, 1=Saturday",""
"ndc_dispo_6pm","Integer","","Recommended","Completion status of 6 PM survey","0;1","0=Partial; 1=Complete",""
"ndc_recordeddate_ema_6pm","String","20","Recommended","Recorded date and time of 6 PM assessment","","",""
"ndc_userlanguage_ema_6pm","Integer","","Recommended","Language of 6PM assessment","1;2","1=English; 2=Spanish",""
"ndc_ema_6pm_q1","Integer","","Recommended","Do you have any social plans for tonight (e.g., seeing friends, going to a party, going to a concert)?","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_6pm_q2a","String","1000","Recommended","What are your social plans? Please type.","","",""
"ndc_ema_6pm_q3_1","Integer","","Recommended","Where do you plan to go tonight? [select all that apply] Stay home (where you live most of the time)","0;1","0 = Not selected; 1 = Selected",""
"ndc_ema_6pm_q3_2","Integer","","Recommended","Where do you plan to go tonight? [select all that apply] Someone else's home","0;1","0 = Not selected; 1 = Selected",""
"ndc_ema_6pm_q3_3","Integer","","Recommended","Where do you plan to go tonight? [select all that apply] Restaurant","0;1","0 = Not selected; 1 = Selected",""
"ndc_ema_6pm_q3_4","Integer","","Recommended","Where do you plan to go tonight? [select all that apply] Bar or nightclub","0;1","0 = Not selected; 1 = Selected",""
"ndc_ema_6pm_q3_5","Integer","","Recommended","Where do you plan to go tonight? [select all that apply] Outdoor place","0;1","0 = Not selected; 1 = Selected",""
"ndc_ema_6pm_q3_6","Integer","","Recommended","Where do you plan to go tonight? [select all that apply] Fraternity/ sorority","0;1","0 = Not selected; 1 = Selected",""
"ndc_ema_6pm_q3_7","Integer","","Recommended","Where do you plan to go tonight? [select all that apply] Other, please specify","0;1","0 = Not selected; 1 = Selected",""
"ndc_ema_6pm_q3_999","Integer","","Recommended","Where do you plan to go tonight? [select all that apply] No Answer","0;1","0 = Not selected; 1 = Selected",""
"ndc_ema_6pm_q3_7_text","String","500","Recommended","Where do you plan to go tonight? [select all that apply] Other, please specify","","",""
"ndc_ema_6pm_q4","Integer","","Recommended","Do you plan to drink alcohol?","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_6pm_q5","Integer","","Recommended","About how many whole drinks do you think you will have?","0::99; 999","999 = No Answer",""
"ndc_dispo_8pm","Integer","","Recommended","Completion status of 8 PM survey","0;1","0=Partial; 1=Complete",""
"ndc_recordeddate_ema_8pm","String","20","Recommended","Recorded date and time of 8 PM assessment","","",""
"ndc_userlanguage_ema_8pm","Integer","","Recommended","Language of 8 PM assessment","1;2","1=English; 2=Spanish",""
"ndc_ema_8pm_q1","Integer","","Recommended","Did you drink alcohol between 6pm and 8pm?","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q2","Integer","","Recommended","How many whole drinks did you have between 6pm and 8pm? [just enter the number of drinks you had]","0::99; 999","999 = No Answer",""
"ndc_ema_8pm_q3","Integer","","Recommended","Did you use cannabis between 6pm and 8pm?","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q4a","Integer","","Recommended","Where were you when you had your last drink between 6pm and 8pm?","1::7; 999","1 = Own home (where you live most of the time); 2 = Someone else's home; 3 = Restaurant; 4 = Bar or nightclub; 5 = Outdoor place; 6 = Fraternity/ sorority; 7 = Other, please specify; 999 = No Answer",""
"ndc_ema_8pm_q4a_7_text","String","200","Recommended","Where were you when you had your last drink between 6pm and 8pm? Other, please specify","","",""
"ndc_ema_8pm_q4b","Integer","","Recommended","Where was this outdoor place?","1::6; 999","1 = A park; 2 = A sports venue; 3 = A parking lot, sidewalk, or street corner; 4 = A beach; 5 = Another outdoor setting close to or in nature (e.g., vineyard, woods, campground, mountain); 6 = Other, please specify; 999 = No Answer",""
"ndc_ema_8pm_q4b_6_text","String","200","Recommended","Where was this outdoor place? Other, please specify","","",""
"ndc_ema_8pm_q5","Integer","","Recommended","How many whole alcoholic drinks did you have at this place? [Enter the number of drinks you had at this place]","0::99; 999","999 = No Answer",""
"ndc_ema_8pm_q6","Integer","","Recommended","Did you feel drunk or buzzed at this place?","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q7a","Integer","","Recommended","Where was the last place where you were between 6pm and 8pm?","1::7; 999","1 = Own home (where you live most of the time); 2 = Someone else's home; 3 = Restaurant; 4 = Bar or nightclub; 5 = Outdoor place; 6 = Fraternity/ sorority; 7 = Other, please specify; 999 = No Answer",""
"ndc_ema_8pm_q7a_7_text","String","200","Recommended","Where was the last place where you were between 6pm and 8pm? Other, please specify","","",""
"ndc_ema_8pm_q7b","Integer","","Recommended","Where was this outdoor place?","1::6; 999","1 = A park; 2 = A sports venue; 3 = A parking lot, sidewalk, or street corner; 4 = A beach; 5 = Another outdoor setting close to or in nature (e.g., vineyard, woods, campground, mountain); 6 = Other, please specify; 999 = No Answer",""
"ndc_ema_8pm_q7b_6_text","String","200","Recommended","Where was this outdoor place? Other, please specify","","",""
"ndc_ema_8pm_q9a","Integer","","Recommended","The next questions are about the last place where you were between 6pm and 8pm. Not counting yourself, about how many people were there, including both people you knew and those you didn't know? [Enter number of people]","0::999","999 = No Answer",""
"ndc_ema_8pm_q9b","Integer","","Recommended","The next questions are about the last place where you were between 6pm and 8pm. Was it a party?","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q9c","Integer","","Recommended","The next questions are about the last place where you were between 6pm and 8pm. Of the [number from Q9a] people who were there, how many of them were your close friends? [Enter number of people]","0::99;999","999 = No Answer",""
"ndc_ema_8pm_q9d","Integer","","Recommended","The next questions are about the last place where you were between 6pm and 8pm. How many of those [number from Q9c] close friends were drinking alcohol?","1::3; 999","1 = Most of them; 2 = Some of them; 3 = None of them; 999 = No Answer",""
"ndc_ema_8pm_q9e","Integer","","Recommended","The next questions are about the last place where you were between 6pm and 8pm. Of the [number from Q9a] people at this place, how many were drinking alcohol? Do not include your close friends.","1::3; 999","1 = Most of them; 2 = Some of them; 3 = None of them; 999 = No Answer",""
"ndc_ema_8pm_q10","Integer","","Recommended","The next questions are about the last place where you were between 6pm and 8pm. The people there were:","1::4; 999","1 = Mostly cisgender girls/women; 2 = Mostly cisgender boys/men; 3 = Mostly mixed cisgender people; 4 = Mostly mixed gender (cis- and non-cisgender) people; 999 = No Answer",""
"ndc_ema_8pm_q11","Integer","","Recommended","The next questions are about the last place where you were between 6pm and 8pm. How easy was it for someone your age to get alcohol at this place?","1::4; 999","1 = Very difficult; 2 = Somewhat difficult; 3 = Somewhat easy; 4 = Very easy; 999 = No Answer",""
"ndc_ema_8pm_q12_1","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm,? I felt nauseated or I vomited.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_2","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm? I behaved rudely or obnoxiously.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_3","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm? I neglected school- or work-related obligations.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_4","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm? I hurt or injured myself by accident.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_5","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm? I behaved aggressively.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_6","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm? I said or did embarrassing things.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_7","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm? I had unplanned or unsafe sex (e.g., did not use protection when having sex).","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_8","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm? I damaged my own or someone else's property.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_9","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm? I got into trouble with the police or other legal authority.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_10","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm? I drove a car when I knew I was not capable of driving safely (e.g., because I was too sleepy, angry, distracted, or had too much to drink).","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_11","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm? I rode in a car with a driver who was high or drunk.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_12","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm? I had other negative experiences (please specify).","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q12_12_text","String","1000","Recommended","Did any of the following happen to you between 6pm and 8pm? I had other negative experiences (please specify).","","",""
"ndc_ema_8pm_q13_1","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm due to drinking? Please indicate whether the following statements are true for you by using one of these responses: 1. Yes; 2. No; 999 = No Answer. Something that would normally bother me didn't bother me.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q13_2","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm due to drinking? Please indicate whether the following statements are true for you by using one of these responses: 1. Yes; 2. No; 999 = No Answer. I was able to express feelings more easily.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q13_3","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm due to drinking? Please indicate whether the following statements are true for you by using one of these responses: 1. Yes; 2. No; 999 = No Answer. I had a romantic or sexual experience.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
"ndc_ema_8pm_q13_4","Integer","","Recommended","Did any of the following happen to you between 6pm and 8pm due to drinking? Please indicate whether the following statements are true for you by using one of these responses: 1. Yes; 2. No; 999 = No Answer. I talked to someone I probably wouldn't have otherwise.","1;2;999","1 = Yes; 2 = No; 999 = No Answer",""
