"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"stress01","Integer","","Recommended","How often did you experience each of the following NOT related to your sexual orientation in the PAST 6 MONTHS: Academic difficulties","1::6;888;999","1 = Never; 2 = Once in a while / Less than 10% of the time; 3 = Sometimes / 10-25% of the time; 4= A lot / 26-49% of the time; 5 =Most of the time / 50-70% of the time; 6= Almost all the time / More than 70% of the time; 888 = N/A: condition skipped; 999 = Missing/no answer",""
"stress02","Integer","","Recommended","How often did you experience each of the following NOT related to your sexual orientation in the PAST 6 MONTHS: Job-related difficulties","1::6;888;999","1 = Never; 2 = Once in a while / Less than 10% of the time; 3 = Sometimes / 10-25% of the time; 4= A lot / 26-49% of the time; 5 =Most of the time / 50-70% of the time; 6= Almost all the time / More than 70% of the time; 888 = N/A: condition skipped; 999 = Missing/no answer",""
"stress03","Integer","","Recommended","How often did you experience each of the following NOT related to your sexual orientation in the PAST 6 MONTHS: Problems in your romantic relationship","1::6;888;999","1 = Never; 2 = Once in a while / Less than 10% of the time; 3 = Sometimes / 10-25% of the time; 4= A lot / 26-49% of the time; 5 =Most of the time / 50-70% of the time; 6= Almost all the time / More than 70% of the time; 888 = N/A: condition skipped; 999 = Missing/no answer",""
"stress04","Integer","","Recommended","How often did you experience each of the following NOT related to your sexual orientation in the PAST 6 MONTHS: Problems with your friends/peers","1::6;888;999","1 = Never; 2 = Once in a while / Less than 10% of the time; 3 = Sometimes / 10-25% of the time; 4= A lot / 26-49% of the time; 5 =Most of the time / 50-70% of the time; 6= Almost all the time / More than 70% of the time; 888 = N/A: condition skipped; 999 = Missing/no answer",""
"stress05","Integer","","Recommended","How often did you experience each of the following NOT related to your sexual orientation in the PAST 6 MONTHS: Family-related problems","1::6;888;999","1 = Never; 2 = Once in a while / Less than 10% of the time; 3 = Sometimes / 10-25% of the time; 4= A lot / 26-49% of the time; 5 =Most of the time / 50-70% of the time; 6= Almost all the time / More than 70% of the time; 888 = N/A: condition skipped; 999 = Missing/no answer",""
