"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sfas_child01","Integer","","Recommended","How often do you have bad feelings about going to school because you are afraid of something related to school (e.g., tests, school bus, teacher, fire alarm)?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child02","Integer","","Recommended","How often do you stay away from school because it is hard to speak with the other kids at school?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child03","Integer","","Recommended","How often do you feel you would rather be with your parents than go to school?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child04","Integer","","Recommended","When you are not in school during the week (Monday to Friday), how often do you leave the house and do something fun?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child05","Integer","","Recommended","How often do you stay away from school because you will feel sad or depressed if you go?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child06","Integer","","Recommended","How often do you stay away from school because you feel embarrassed in front of other people at school?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child07","Integer","","Recommended","How often do you think about your parents or family when in school?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child08","Integer","","Recommended","When you are not in school during the week (Monday to Friday), how often do you talk to or see other people (other than your family)?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child09","Integer","","Recommended","How often do you feel worse at school (e.g., scared, nervous, sad) compared to how you feel at home with friends?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child10","Integer","","Recommended","How often do you stay away from school because you do not have many friends there?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
"sfas_child11","Integer","","Recommended","How much would you rather be with your family than go to school?","0::6","0=Never; 1=Seldom; 2=Sometimes; 3=Half the time; 4=Usually; 5=Almost always; 6=Always",""
