"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"lsbq2","String","10","Recommended","Handedness","Left; Right","",""
"belt_perf","Integer","","Recommended","Task Performance Rating: Ease of Performance","1::3;999","1 = Could not perform; 2 = Performed with difficulty; 3 = Proficient; 999 = Missing value",""
"belt_willing","Integer","","Recommended","Task Performance Rating: Willingness","1::3;999","1 = Not compliant; 2 = Took convincing; 3 = Compliant; 999 = Missing value",""
"belt_distract","Integer","","Recommended","Task Performance Rating: Distraction","1::3;999","1 = Very distracted; 2 = A little distracted; 3 = Very attentive; 999 = Missing value",""
"belt_emot_child","Integer","","Recommended","Emotion Rating Scale (1-6): Child","1::6","1 = Very happy; 6 = Very sad",""
"belt_emot_researcher","Integer","","Recommended","Emotion Rating Scale (1-6): Researcher","1::6","1 = Very happy; 6 = Very sad",""
"belt_sleep_child","Integer","","Recommended","Sleepiness Rating Scale (1-5): Child","1::5","1 = Very awake; 5 = Very sleepy",""
"belt_sleep_researcher","Integer","","Recommended","Sleepiness Rating Scale (1-5): Researcher","1::5","1 = Very awake; 5 = Very sleepy",""
"belt_pts_total","Integer","","Recommended","Total number of points earned from saved balloons","0::972; 99999","",""
"belt_saves_total","Integer","","Recommended","Total number of balloons that did not pop","0::54; 99999","",""
"belt_pops_total","Integer","","Recommended","Total number of balloons that popped","0::54; 99999","",""
"belt_beg_saves","Integer","","Recommended","Total number of balloons that did not pop in the first 17 trials","0::17; 99999","",""
"belt_mid_saves","Integer","","Recommended","Total number of balloons that popped in the first 17 trials","0::17; 99999","",""
"belt_end_saves","Integer","","Recommended","Total number of balloons that did not pop in the middle 17 trials","0::17; 99999","",""
"belt_beg_pops","Integer","","Recommended","Total number of balloons that popped in the middle 17 trials","0::17; 99999","",""
"belt_mid_pops","Integer","","Recommended","Total number of balloons that did not pop in the final 17 trials","0::17; 99999","",""
"belt_end_pops","Integer","","Recommended","Total number of balloons that popped in the final 17 trials","0::17; 99999","",""
"belt_pumps_total","Integer","","Recommended","Total number of balloon pumps across all trials","0::972; 99999","",""
"belt_beg_pumps","Integer","","Recommended","Total number of balloon pumps in the first 17 trials","0::972; 99999","",""
"belt_mid_pumps","Integer","","Recommended","Total number of balloon pumps in the middle 17 trials","0::972; 99999","",""
"belt_end_pumps","Integer","","Recommended","Total number of balloon pumps in the final 17 trials","0::972; 99999","",""
"belt_pumps_statlong","Integer","","Recommended","Total number of pumps for static long balloons","0::972; 99999","Static long balloons allow 18 pumps before popping",""
"belt_beg_statlong","Integer","","Recommended","Total number of pumps for static short balloons","0::972; 99999","Static short balloons allow 6 pumps before popping",""
"belt_mid_statlong","Integer","","Recommended","Total number of pumps for variable-length balloons","0::972; 99999","Variable balloons will pop after either 6, 12, or 18 pumps",""
"belt_end_statlong","Integer","","Recommended","Total number of pumps for static long balloons in the first 17 trials","0::972; 99999","",""
"belt_pumps_statshort","Integer","","Recommended","Total number of pumps for static long balloons in the middle 17 trials","0::972; 99999","",""
"belt_beg_statshort","Integer","","Recommended","Total number of pumps for static long balloons in the final 17 trials","0::972; 99999","",""
"belt_mid_statshort","Integer","","Recommended","Total number of pumps for static short balloons in the first 17 trials","0::972; 99999","",""
"belt_end_statshort","Integer","","Recommended","Total number of pumps for static short balloons in the middle 17 trials","0::972; 99999","",""
"belt_pumps_var","Integer","","Recommended","Total number of pumps for static short balloons in the final 17 trials","0::972; 99999","",""
"belt_beg_var","Integer","","Recommended","Total number of pumps for variable-length balloons in the first 17 trials","0::972; 99999","",""
"belt_mid_var","Integer","","Recommended","Total number of pumps for variable-length balloons in the middle 17 trials","0::972; 99999","",""
"belt_end_var","Integer","","Recommended","Total number of pumps for variable-length balloons in the final 17 trials","0::972; 99999","",""
"belt_adj_pumps_total","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across all trials","","",""
"belt_beg_adj_pumps","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across the first 17 trials","","",""
"belt_mid_adj_pumps","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across the middle 17 trials","","",""
"belt_end_adj_pumps","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across the final 17 trials","","",""
"belt_adj_statlong","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across all static long balloon trials","","",""
"belt_beg_adj_statlong","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across all static short balloon trials","","",""
"belt_mid_adj_statlong","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across all variable-length balloon trials","","",""
"belt_end_adj_statlong","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across static long balloons in the first 17 trials","","",""
"belt_adj_statshort","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across static long balloons in the middle 17 trials","","",""
"belt_beg_adj_statshort","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across static long balloons in the final 17 trials","","",""
"belt_mid_adj_statshort","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across static short balloons in the first 17 trials","","",""
"belt_end_adj_statshort","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across static short balloons in the middle 17 trials","","",""
"belt_adj_var","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across static short balloons in the final 17 trials","","",""
"belt_beg_adj_var","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across variable-length balloons in the first 17 trials","","",""
"belt_mid_adj_var","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across variable-length balloons in the middle 17 trials","","",""
"belt_end_adj_var","Float","","Recommended","Average number of pumps per balloon for balloons that did not pop across variable-length balloons in the final 17 trials","","",""
