"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"asp_1","Integer","","Recommended","I look forward to seeing someone I have made plans with.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_2","Integer","","Recommended","Before I visit my parents, I know I won't enjoy it.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_3","Integer","","Recommended","I looking forward to meeting new people when I'm out and about.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_4","Integer","","Recommended","Meeting up with friends is not my greatest source of happiness.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_5","Integer","","Recommended","I look forward to holidays because I get to spend time with my family.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_6","Integer","","Recommended","I dread the idea of going out to make new friends.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_7","Integer","","Recommended","After I make plans to see someone, I enjoy thinking about what we will do together.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_8","Integer","","Recommended","Planning a family visit is not what I would consider a fun time.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_9","Integer","","Recommended","I look forward to parties or social gatherings where I will meet new people.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_10","Integer","","Recommended","I make plans to see a group of friends but then I don't look forward to it.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_11","Integer","","Recommended","I get excited when I think about spending time with my family.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_12","Integer","","Recommended","Meeting new people is the last thing I would look forward to.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_13","Integer","","Recommended","Planning to see a friend I am close to brings me joy.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_14","Integer","","Recommended","I don't look forward to visits from my family.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_15","Integer","","Recommended","I look forward to meeting new people.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_16","Integer","","Recommended","I don't look forward to spending a lot of time with friends.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_17","Integer","","Recommended","I like making plans to see my family.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
"asp_18","Integer","","Recommended","I don't get excited about upcoming social events with lots of new people.","1::5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral, no opinion; 4 = Agree a little; 5 = Agree strongly",""
