"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"s_time_alt","String","50","Recommended","Time in HH:mm:ss format (24 hour clock)","","",""
"s_day_alt","Integer","","Recommended","Day number within 3-week mini-survey burst","1::21","",""
"s_num_alt","String","2","Recommended","Survey ID (survey number within each day, 1-4)","s1;s2;s3;s4","s1 = Survey 1 (morning); s2 = Survey 2 (afternoon); s3 = Survey 3 (evening); s4 = Survey 4 (before bed)",""
"feel_anx","Integer","","Recommended","IN THIS MOMENT...I feel anxious.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"feel_hap","Integer","","Recommended","IN THIS MOMENT...I feel happy.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"feel_dep","Integer","","Recommended","IN THIS MOMENT...I feel depressed.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"feel_ang","Integer","","Recommended","IN THIS MOMENT...I feel angry.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"feel_hpl","Integer","","Recommended","IN THIS MOMENT...I feel hopeless.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"rela_acc","Integer","","Recommended","IN THIS MOMENT...I feel accepted by the people in my life.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"rela_sup","Integer","","Recommended","IN THIS MOMENT...I feel like I can count on the people in my life.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"suic_now_01","Integer","","Recommended","IN THIS MOMENT...I am having thoughts of killing myself or being better off dead.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"suic_now_02","Integer","","Recommended","IN THIS MOMENT...How intense is your desire to kill yourself?","0::5;888;999","0= N/A (no desire present); 1= Present but not at all intense; 2= A little intense; 3= Moderately intense; 4= Very intense; 5= Extremely intense; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"suic_now_03","Integer","","Recommended","IN THIS MOMENT...How strong is your intention to kill yourself by suicide?","0::5;888;999","0= N/A (no intention present); 1= Present but not at all strong; 2= A little strong; 3= Moderately strong; 4= Very strong; 5= Extremely strong; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"suic_now_04","Integer","","Recommended","IN THIS MOMENT...How ABLE are you to keep yourself safe?","1::5;888;999","1= I definitely CAN keep myself safe; 2= I probably CAN keep myself safe; 3= I'm not sure if I can keep myself safe; 4= I probably CANNOT keep myself safe; 5= I definitely CANNOT keep myself safe; 888 = N/A: condition skipped; 999 = Missing/no answer",""
"self_est","Integer","","Recommended","IN THIS MOMENT...I feel satisfied with who I am.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"self_cap","Integer","","Recommended","IN THIS MOMENT...I feel capable of handling the stress in my life.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"self_aut","Integer","","Recommended","IN THIS MOMENT...I feel able to be my true self.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"rs_now_01","Integer","","Recommended","IN THIS MOMENT...I think it's likely I will be rejected in the near future because of my sexual orientation.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"rs_now_02","Integer","","Recommended","IN THIS MOMENT...I feel anxious about possibly being rejected in the near future because of my sexual orientation.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"rs_now_03","Integer","","Recommended","IN THIS MOMENT...I feel angry about possibly being rejected in the near future because of my sexual orientation.","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"rejsxo_1","Integer","","Recommended","SINCE [WINDOW APPROXIMATING LAST SURVEY]... Have you been rejected because of your SEXUAL ORIENTATION?: YES, with words (e.g., someone said they disliked me, didn't want me around, or wished I behaved differently)","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"rejsxo_2","Integer","","Recommended","SINCE [WINDOW APPROXIMATING LAST SURVEY]... Have you been rejected because of your SEXUAL ORIENTATION?: YES, without words (e.g., someone ignored me, stared, whispered, laughed, or acted coldly)","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"rejsxo_0","Integer","","Recommended","SINCE [WINDOW APPROXIMATING LAST SURVEY]... Have you been rejected because of your SEXUAL ORIENTATION?: No. No one rejected me because of my sexual orientation","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"blame_reject_01","Integer","","Recommended","How much did you blame YOURSELF for the rejection you experienced?","0::6;888;999","0= Not at all; 6= Totally; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"blame_other_02","Integer","","Recommended","How much did you blame the OTHER PERSON(S) for the rejection you experienced?","0::6;888;999","0= Not at all; 6= Totally; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"reagg_alt","Integer","","Recommended","I tried to ''get back'' at the person who rejected me (e.g., said mean things; threatened them; physically hurt them; gave them the silent treatment; spread rumors about them)","0::6;888;999","0= Not at all; 6= Very much; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"pexp_since_01","Integer","","Recommended","SINCE [WINDOW APPROXIMATING LAST SURVEY]: Have you had any positive experiences related to your SEXUAL ORIENTATION? (e.g., connected with people who share your identity, participated in LGBTQ+ groups or events, explored romantic relationships, heard positive things about LGBTQ+ people)","0;1;888;999","0=No; 1=Yes; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"pexp_since_02","Integer","","Recommended","SINCE [WINDOW APPROXIMATING LAST SURVEY]: Did you tell anyone about these experiences?","0;1;888;999","0=No; 1=Yes; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"pexp_since_03","Integer","","Recommended","SINCE [WINDOW APPROXIMATING LAST SURVEY]: When you told them, how did they react?","0::6;888;999","0= Very negatively; 6= Very positively; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"rejgen_1","Integer","","Recommended","SINCE [WINDOW APPROXIMATING LAST SURVEY]... Have you been rejected for reasons OTHER THAN your sexual orientation?: YES, with words (e.g., someone said they disliked me, didn't want me around, or wished I behaved differently)","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"rejgen_2","Integer","","Recommended","SINCE [WINDOW APPROXIMATING LAST SURVEY]... Have you been rejected for reasons OTHER THAN your sexual orientation?: YES, without words (e.g., someone ignored me, stared, whispered, laughed, or acted coldly)","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"rejgen_0","Integer","","Recommended","SINCE [WINDOW APPROXIMATING LAST SURVEY]... Have you been rejected for reasons OTHER THAN your sexual orientation?: No. No one rejected me for reasons other than my sexual orientation","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"socwith_oth","Integer","","Recommended","SINCE [WINDOW APPROXIMATING LAST SURVEY]... Have you kept to yourself or withdrawn from others?","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"conceal_so","Integer","","Recommended","SINCE [WINDOW APPROXIMATING LAST SURVEY]... Have you tried to hide or conceal your sexual orientation? (e.g., changed how you looked or acted, avoided topics like sex or relationships, denied you were LGBTQ+, let others assume you were straight)","0::6;888;999","0= Not at all; 6= Very much so; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"sleep_decimal","Float","","Recommended","THINKING ABOUT YESTERDAY...sleep: Approximately how many hours of sleep did you get last night? Enter numbers, not words. You may use decimals. For example, if you got about eight and a half hours of sleep, enter ''8.5.''","0::15;888;999","Two decimal places; 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"substance_01_use","Integer","","Recommended","THINKING ABOUT YESTERDAY... Did you use any of the following substances yesterday? Reminder: your responses are completely confidential and will not be shared with anyone: Alcohol","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"substance_02_use","Integer","","Recommended","THINKING ABOUT YESTERDAY... Did you use any of the following substances yesterday? Reminder: your responses are completely confidential and will not be shared with anyone: Marijuana","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"substance_03_use","Integer","","Recommended","THINKING ABOUT YESTERDAY... Did you use any of the following substances yesterday? Reminder: your responses are completely confidential and will not be shared with anyone: Tobacco/nicotine (cigarettes, vaping)","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"substance_04_use","Integer","","Recommended","THINKING ABOUT YESTERDAY... Did you use any of the following substances yesterday? Reminder: your responses are completely confidential and will not be shared with anyone: Other drugs (cocaine, ecstasy, etc.)","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"substance_05_use","Integer","","Recommended","THINKING ABOUT YESTERDAY... Did you use any of the following substances yesterday? Reminder: your responses are completely confidential and will not be shared with anyone: Prescription medication to GET HIGH","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
"substance_88_use","Integer","","Recommended","THINKING ABOUT YESTERDAY... Did you use any of the following substances yesterday? Reminder: your responses are completely confidential and will not be shared with anyone: I didn't use any of these yesterday","0;1;888;999","0 =No (unchecked); 1 = Yes (checked); 888 = N/A: Condition skipped; 999 = Missing/no answer",""
