"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ahbs_1","Integer","","Recommended","In dating relationships people are mostly out to take advantage of each other.","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_2","Integer","","Recommended","If you don't show who's boss in the beginning of a relationship you will be taken advantage of later.","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_3","Integer","","Recommended","Most people are pretty devious and manipulative when they are trying to attract someone of the opposite sex.","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_4","Integer","","Recommended","Men and women are generally out to use each other.","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_5","Integer","","Recommended","It's impossible for men and women to truly understand each other.","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_6","Integer","","Recommended","In the work force, any gain by one sex necessitates a loss for the other.","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_7","Integer","","Recommended","When women enter the work force, they are taking jobs away from men.","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_8","Integer","","Recommended","Men and women cannot really be friends.","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_9","Integer","","Recommended","Sex is like a game when one person ''wins'' and the other ''loses.''","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_10","Integer","","Recommended","In all societies, it is inevitable that one sex is dominant.","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_11","Integer","","Recommended","It is natural for one spouse to be in control of the other.","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_12","Integer","","Recommended","When it comes to sex, most people are just trying to use the other person.","1::7;999","1 = Strongly disagree; 7 = Strongly agree; 999 = No answer",""
"ahbs_13","Integer","","Recommended","It is possible for the sexes to be equal in society.","1::7;999","1 = Strongly agree; 7 = Strongly disagree; 999 = No answer",""
"ahbs_14","Integer","","Recommended","Men and women share more similarities than differences.","1::7;999","1 = Strongly agree; 7 = Strongly disagree; 999 = No answer",""
"ahbs_15","Integer","","Recommended","It is possible for a man and a woman to be ''just friends.''","1::7;999","1 = Strongly agree; 7 = Strongly disagree; 999 = No answer",""
