"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"ssq_1_y","Integer","","Recommended","I try to present an image of strength","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_2_y","Integer","","Recommended","I have to be strong","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_3_y","Integer","","Recommended","I feel obligated to present an image of strength at work/school","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_4_y","Integer","","Recommended","I feel obligated to present an image for my family","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_5_y","Integer","","Recommended","I display my emotions in private","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_6_y","Integer","","Recommended","I keep my feelings to myself","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_7_y","Integer","","Recommended","My tears are a sign of weakness","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_8_y","Integer","","Recommended","I keep my problems bottled up inside","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_9_y","Integer","","Recommended","Expressing emotions is difficult for me","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_10_y","Integer","","Recommended","It's hard for me to accept help from others","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_11_y","Integer","","Recommended","I have a hard time trusting others","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_12_y","Integer","","Recommended","I wait until I am overwhelmed to ask for help","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_13_y","Integer","","Recommended","Asking for help is difficult for me","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_14_y","Integer","","Recommended","I resist help to prove that I can make it on my own","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_15_y","Integer","","Recommended","If I want things done right, I do them myself","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_16_y","Integer","","Recommended","I accomplish my goals with limited resources","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_17_y","Integer","","Recommended","It is very important to me to be the best at the things that I do","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_18_y","Integer","","Recommended","No matter how hard I work, I feel like I should do more","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_19_y","Integer","","Recommended","I put pressure on myself to achieve a certain level of accomplishment","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_20_y","Integer","","Recommended","I take on roles and responsibilities when I am already overwhelmed","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_21_y","Integer","","Recommended","I take on too many responsibilities in my family","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_22_y","Integer","","Recommended","I put everyone else's needs before mine","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_23_y","Integer","","Recommended","I feel obligated to take care of others","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_24_y","Integer","","Recommended","When others ask for my help, I say yes when I should say no","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_25_y","Integer","","Recommended","I neglect my health (Please specify in what ways you neglect your health)","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_25_text_ybl","String","300","Recommended","I neglect my health (Please specify in what ways you neglect your health): Text","","",""
"ssq_26_y","Integer","","Recommended","I neglect the things that bring me joy","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_27_y","Integer","","Recommended","I feel guilty when I take time for myself","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_28_y","Integer","","Recommended","The struggles of my ancestors require me to be strong","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_29_y","Integer","","Recommended","I keep my problems to myself to prevent from burdening others","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_30_y","Integer","","Recommended","I do things by myself without asking for help","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_31_y","Integer","","Recommended","The only way for me to be successful is to work hard","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_32_y","Integer","","Recommended","I am a perfectionist","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_33_y","Integer","","Recommended","There is no time for me because I am always taking care of others","1::4; 777; 999","1 = This is NOT TRUE for me; 2 = This is TRUE for me rarely; 3 = This is TRUE for me sometimes; 4 = This is TRUE for me all of the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"ssq_os_ybl","Integer","","Recommended","Obligation to Present an Image of Strength Subscale Score - SSQ","5::20; 999","A higher score of the 5 items in this subscale reflects greater endorsement of Obligation to Present an Image of Strength; 999 = No data (participant did not see/complete that scale)",""
