"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"tpb_1","Integer","","Recommended","Imagine a situation in which your casual partner wanted to use a condom and you didn't. If this happened to you in the next month, how likely would you be to try to avoid using a condom?","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_2","Integer","","Recommended","Imagine a situation in which your casual partner wanted to use a condom and you didn't. If this happened to you in the next month, how strong would your intention be to try to avoid using a condom?","1::7;999","1 = Not at all strong; 4 = 50/50; 7 = Very strong; 999 = No answer",""
"tpb_3","Integer","","Recommended","Imagine a situation in which your casual partner wanted to use a condom and you didn't. If this happened to you in the next month, how probable would it be that you would try to avoid using a condom?","1::7;999","1 = Not at all probable; 4 = 50/50; 7 = Very probable; 999 = No answer",""
"tpb_4","Integer","","Recommended","During the next month, trying to avoid using condoms with a casual sex partner who wants to use one would be: (Bad/Good)","1::7;999","1 = Bad; 4 = Neutral; 7 = Good; 999 = No answer",""
"tpb_5","Integer","","Recommended","During the next month, trying to avoid using condoms with a casual sex partner who wants to use one would be: (Awful/Nice)","1::7;999","1 = Awful; 4 = Neutral; 7 = Nice; 999 = No answer",""
"tpb_6","Integer","","Recommended","During the next month, trying to avoid using condoms with a casual sex partner who wants to use one would be: (Harmful/Helpful)","1::7;999","1 = Harmful; 4 = Neutral; 7 = Helpful; 999 = No answer",""
"tpb_7","Integer","","Recommended","During the next month, trying to avoid using condoms with a casual sex partner who wants to use one would be: (Foolish/Wise)","1::7;999","1 = Foolish; 4 = Neutral; 7 = Wise; 999 = No answer",""
"tpb_8","Integer","","Recommended","During the next month, trying to avoid using condoms with a casual sex partner who wants to use one would be: (Unpleasant/Pleasant)","1::7;999","1 = Unpleasant; 4 = Neutral; 7 = Pleasant; 999 = No answer",""
"tpb_9","Integer","","Recommended","Most people who are important to me think that when my casual sex partners want to use a condom I ___ try to avoid using condoms in the next month.","1::7;999","1 = Definitely should NOT; 4 = Neutral; 7 = Definitely SHOULD; 999 = No answer",""
"tpb_10","Integer","","Recommended","How do you think important people in your life would feel about you trying to avoid using a condom with a casual sex partner who wants to use one? _____ try  to avoid using condoms in the next month.","1::7;999","1 = Feel I ought NOT to; 4 = Neutral; 7 = Feel I OUGHT to; 999 = No answer",""
"tpb_11","Integer","","Recommended","Do people in your life support or oppose you trying to avoid condom use with a casual sex partner who wants to use one? ____ me trying to avoid condoms in the next month.","1::7;999","1 = They strongly OPPOSE; 4 = Neutral; 7 = They strongly SUPPORT; 999 = No answer",""
"tpb_12","Integer","","Recommended","Suppose your casual partner wanted to use a condom and you didn't want to use a condom. In the next month... How much control do you have over whether you will try to avoid using condoms with your casual sex partner(s)?","1::7;999","1 = No control; 4 = Neutral; 7 = Complete control; 999 = No answer",""
"tpb_13","Integer","","Recommended","Suppose your casual partner wanted to use a condom and you didn't want to use a condom. In the next month... I am in complete control over whether I will try to avoid using condoms with my casual sex partner(s).","1::7;999","1 = Completely false; 4 = Neutral; 7 = Completely true; 999 = No answer",""
"tpb_14","Integer","","Recommended","Suppose your casual partner wanted to use a condom and you didn't want to use a condom. In the next month... Whether or not I try to avoid using condoms with my casual sex partner(s) is entirely up to me.","1::7;999","1 = Completely false; 4 = Neutral; 7 = Completely true; 999 = No answer",""
"tpb_15","Integer","","Recommended","Suppose your casual partner wanted to use a condom and you didn't want to use a condom. In the next month... For me to try to avoid using condoms with my casual sex partner(s) will be","1::7;999","1 = Very difficult; 4 = Neutral; 7 = Very easy; 999 = No answer",""
"tpb_16","Integer","","Recommended","Suppose your casual partner wanted to use a condom and you didn't want to use a condom. In the next month...  If I wanted to, it would be easy for me to try to avoid using condoms with my casual sex partner(s).","1::7;999","1 = Strongly disagree; 4 = Neutral; 7 = Strongly agree; 999 = No answer",""
"tpb_17","Integer","","Recommended","Suppose your casual partner wanted to use a condom and you didn't want to use a condom. In the next month... I have the ability to try to avoid using condoms with my casual sex partner(s).","1::7;999","1 = Strongly disagree; 4 = Neutral; 7 = Strongly agree; 999 = No answer",""
"tpb_18a","Integer","","Recommended","In the next month, if you did not want to use a condom but your casual partner wanted to use one, how likely is it that you could try to avoid using a condom... If condoms were handy when we had sex","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_18b","Integer","","Recommended","In the next month, if you did not want to use a condom but your casual partner wanted to use one, how likely is it that you could try to avoid using a condom... If you were drunk or high","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_18c","Integer","","Recommended","In the next month, if you did not want to use a condom but your casual partner wanted to use one, how likely is it that you could try to avoid using a condom... If your sex partner was drunk or high","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_18d","Integer","","Recommended","In the next month, if you did not want to use a condom but your casual partner wanted to use one, how likely is it that you could try to avoid using a condom... If sex was unexpected or spur of the moment","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_18e","Integer","","Recommended","In the next month, if you did not want to use a condom but your casual partner wanted to use one, how likely is it that you could try to avoid using a condom... If your partner directly requests that you use a condom","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_18f","Integer","","Recommended","In the next month, if you did not want to use a condom but your casual partner wanted to use one, how likely is it that you could try to avoid using a condom... If your partner gives you a specific reason (e.g. pregnancy, STD's) for wanting to use a condom","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_19a","Integer","","Recommended","In the next month, trying to avoid using condoms with a casual sex partner who wants to use one will: Make my partner agree to have sex without a condom","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_19b","Integer","","Recommended","In the next month, trying to avoid using condoms with a casual sex partner who wants to use one will: Make my partner angry","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_19c","Integer","","Recommended","In the next month, trying to avoid using condoms with a casual sex partner who wants to use one will: Make my partner think I want a more serious relationship with her","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_19d","Integer","","Recommended","In the next month, trying to avoid using condoms with a casual sex partner who wants to use one will: Cause a fight or argument","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_19e","Integer","","Recommended","In the next month, trying to avoid using condoms with a casual sex partner who wants to use one will: Make my partner feel afraid","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_19f","Integer","","Recommended","In the next month, trying to avoid using condoms with a casual sex partner who wants to use one will: Give me something to brag about to my friends","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_19g","Integer","","Recommended","In the next month, trying to avoid using condoms with a casual sex partner who wants to use one will: Make me feel regretful afterwards","1::7;999","1 = Very unlikely; 4 = 50/50; 7 = Very likely; 999 = No answer",""
"tpb_20a","Integer","","Recommended","Please rate the following items in terms of how good or bad they would be if they did occur. - My partner agreeing to have sex without a condom would be","1::7;999","1 = Very bad; 4 = Neutral; 7 = Very good; 999 = No answer",""
"tpb_20b","Integer","","Recommended","Please rate the following items in terms of how good or bad they would be if they did occur. - My partner getting angry would be","1::7;999","1 = Very bad; 4 = Neutral; 7 = Very good; 999 = No answer",""
"tpb_20c","Integer","","Recommended","Please rate the following items in terms of how good or bad they would be if they did occur. - My casual sex partner thinking I want a more serious relationship with her would be","1::7;999","1 = Very bad; 4 = Neutral; 7 = Very good; 999 = No answer",""
"tpb_20d","Integer","","Recommended","Please rate the following items in terms of how good or bad they would be if they did occur. - Having a fight or argument with my casual sex partner would be","1::7;999","1 = Very bad; 4 = Neutral; 7 = Very good; 999 = No answer",""
"tpb_20e","Integer","","Recommended","Please rate the following items in terms of how good or bad they would be if they did occur. - My casual sex partner feeling afraid would be","1::7;999","1 = Very bad; 4 = Neutral; 7 = Very good; 999 = No answer",""
"tpb_20f","Integer","","Recommended","Please rate the following items in terms of how good or bad they would be if they did occur. - Having something to brag about to my friends would be","1::7;999","1 = Very bad; 4 = Neutral; 7 = Very good; 999 = No answer",""
"tpb_20g","Integer","","Recommended","Please rate the following items in terms of how good or bad they would be if they did occur. - Feeling regretful about avoiding condom use with my casual sex partner would be","1::7;999","1 = Very bad; 4 = Neutral; 7 = Very good; 999 = No answer",""
"tpb_21","Integer","","Recommended","Most of my close friends think that with my casual sex partner(s) who want to use condoms I ___ try to avoid using condoms in the next month.","1::7;999","1 = Definitely should NOT; 4 = Neutral; 7 = Definitely SHOULD; 999 = No answer",""
"tpb_22","Integer","","Recommended","My doctor or health care provider thinks that with my casual sex partner(s) who want to use condoms I ___ try to avoid using condoms in the next month.","1::7;999","1 = Definitely should NOT; 4 = Neutral; 7 = Definitely SHOULD; 999 = No answer",""
"tpb_23","Integer","","Recommended","Most members of my family think that with my casual sex partner(s) who want to use condoms I ___ try to avoid using condoms in the next month.","1::7;999","1 = Definitely should NOT; 4 = Neutral; 7 = Definitely SHOULD; 999 = No answer",""
"tpb_24","Integer","","Recommended","My sexual partner thinks that with my casual sex partner(s) who want to use condoms I ___ try to avoid using condoms in the next month.","1::7;999","1 = Definitely should NOT; 4 = Neutral; 7 = Definitely SHOULD; 999 = No answer",""
"tpb_25","Integer","","Recommended","Generally speaking, I want to try to do what most of my close friends think I should do.","1::7;999","1 = Very little; 4 = Neutral; 7 = Very much; 999 = No answer",""
"tpb_26","Integer","","Recommended","Generally speaking, I want to try to do what my doctor or health care provider thinks I should do.","1::7;999","1 = Very little; 4 = Neutral; 7 = Very much; 999 = No answer",""
"tpb_27","Integer","","Recommended","Generally speaking, I want to try to do what most members of my family think I should do.","1::7;999","1 = Very little; 4 = Neutral; 7 = Very much; 999 = No answer",""
"tpb_28","Integer","","Recommended","Generally speaking, I want to try to do what my sexual partner thinks I should do.","1::7;999","1 = Very little; 4 = Neutral; 7 = Very much; 999 = No answer",""
