"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"als_1","Integer","","Recommended","It is easy for me to make new friends at school.","1::5","1 = Always true; 2 = True most of the time; 3 = True sometimes; 4 = Hardly ever true; 5 = Not true at all","Asher_Loneliness1"
"als_2","Integer","","Recommended","I have nobody to talk to in class.","1::5","5 = Always true; 4 = True most of the time; 3 = True sometimes; 2 = Hardly ever true; 1 = Not true at all","Asher_Loneliness2"
"als_3","Integer","","Recommended","I am good at working with other kids in my class.","1::5","1 = Always true; 2 = True most of the time; 3 = True sometimes; 4 = Hardly ever true; 5 = Not true at all","Asher_Loneliness3"
"als_4","Integer","","Recommended","It is hard for me to make friends at school.","1::5","5 = Always true; 4 = True most of the time; 3 = True sometimes; 2 = Hardly ever true; 1 = Not true at all","Asher_Loneliness4"
"als_5","Integer","","Recommended","I have more or as many friends as most kids in my class.","1::5","1 = Always true; 2 = True most of the time; 3 = True sometimes; 4 = Hardly ever true; 5 = Not true at all","Asher_Loneliness5"
"als_6","Integer","","Recommended","I feel alone at school.","1::5","5 = Always true; 4 = True most of the time; 3 = True sometimes; 2 = Hardly ever true; 1 = Not true at all","Asher_Loneliness6"
"als_7","Integer","","Recommended","I can find a friend in my class when I need one.","1::5","1 = Always true; 2 = True most of the time; 3 = True sometimes; 4 = Hardly ever true; 5 = Not true at all","Asher_Loneliness7"
"als_8","Integer","","Recommended","It is hard to get kids in school to like me.","1::5","5 = Always true; 4 = True most of the time; 3 = True sometimes; 2 = Hardly ever true; 1 = Not true at all","Asher_Loneliness8"
"als_9","Integer","","Recommended","I do not have anyone one to hang out with at school.","1::5","5 = Always true; 4 = True most of the time; 3 = True sometimes; 2 = Hardly ever true; 1 = Not true at all","Asher_Loneliness9"
"als_10","Integer","","Recommended","I get along with my classmates.","1::5","1 = Always true; 2 = True most of the time; 3 = True sometimes; 4 = Hardly ever true; 5 = Not true at all","Asher_Loneliness10"
"als_11","Integer","","Recommended","I feel left out of things at school.","1::5","5 = Always true; 4 = True most of the time; 3 = True sometimes; 2 = Hardly ever true; 1 = Not true at all","Asher_Loneliness11"
"als_12","Integer","","Recommended","There are no other kids I can go to when I need help in school.","1::5","5 = Always true; 4 = True most of the time; 3 = True sometimes; 2 = Hardly ever true; 1 = Not true at all","Asher_Loneliness12"
"als_13","Integer","","Recommended","I don't get along with other kids in school.","1::5","5 = Always true; 4 = True most of the time; 3 = True sometimes; 2 = Hardly ever true; 1 = Not true at all","Asher_Loneliness13"
"als_14","Integer","","Recommended","I am lonely at school.","1::5","5 = Always true; 4 = True most of the time; 3 = True sometimes; 2 = Hardly ever true; 1 = Not true at all","Asher_Loneliness14"
"als_15","Integer","","Recommended","I am well like by the kids in my class.","1::5","1 = Always true; 2 = True most of the time; 3 = True sometimes; 4 = Hardly ever true; 5 = Not true at all","Asher_Loneliness15"
"als_16","Integer","","Recommended","I don't have many friends in class.","1::5","5 = Always true; 4 = True most of the time; 3 = True sometimes; 2 = Hardly ever true; 1 = Not true at all","Asher_Loneliness16"
"als_total","Integer","","Required","ALS Total","","999=missing","Asher_Loneliness17"
