"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","subjectid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","interview_age_mom"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA","NA=Not Applicable",""
"chaos1","Integer","","Recommended","There is very little commotion in our home","0;1","0=False; 1=True","chaos_1_c2988"
"chaos2","Integer","","Recommended","We can usually find things when we need them","0;1","0=False; 1=True","chaos_2_c2988"
"chaos3","Integer","","Recommended","We almost always seem to be rushed","0;1","0=False; 1=True","chaos_3_c2988"
"chaos4","Integer","","Recommended","We are usually able to stay on top of things","0;1","0=False; 1=True","chaos_4_c2988"
"chaos5","Integer","","Recommended","No matter how hard we try, we always seem to be running late","0;1","0=False; 1=True","chaos_5_c2988"
"chaos6","Integer","","Recommended","It's a real zoo in our home","0;1","0=False; 1=True","chaos_6_c2988"
"chaos7","Integer","","Recommended","At home we can talk to each other without being interrupted","0;1","0=False; 1=True","chaos_7_c2988"
"chaos8","Integer","","Recommended","There is often a fuss going on at our home","0;1","0=False; 1=True","chaos_8_c2988"
"chaos9","Integer","","Recommended","No matter what our family plans, it usually doesn't seem to work out","0;1","0=False; 1=True","chaos_9_c2988"
"chaos10","Integer","","Recommended","You can't hear yourself think in our home","0;1","0=False; 1=True","chaos_10_c2988"
"chaos11","Integer","","Recommended","I often get drawn into other people's arguments at home","0;1","0=False; 1=True","chaos_11_c2988"
"chaos12","Integer","","Recommended","Our home is a good place to relax","0;1","0=False; 1=True","chaos_12_c2988"
"chaos13","Integer","","Recommended","The telephone takes up a lot of our time at home","0;1","0=False; 1=True","chaos_13_c2988"
"chaos14","Integer","","Recommended","The atmosphere in our home is calm","0;1","0=False; 1=True","chaos_14_c2988"
"chaos15","Integer","","Recommended","First thing in the day, we have a regular routine at home","0;1","0=False; 1=True","chaos_15_c2988"
"chaos_1","Integer","","Recommended","There is very little commotion in our home","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha1"
"chaos_2","Integer","","Recommended","We can usually find things when we need them","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha2"
"chaos_3","Integer","","Recommended","We almost always seem to be rushed","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha3"
"chaos_4","Integer","","Recommended","We are usually able to stay on top of things","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha4"
"chaos_5","Integer","","Recommended","No matter how hard we try, we always seem to be running late","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha5"
"chaos_6","Integer","","Recommended","It's a real zoo in our home","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha6"
"chaos_7","Integer","","Recommended","At home we can talk to each other without being interrupted","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha7"
"chaos_8","Integer","","Recommended","There is often a fuss going on at our home","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha8"
"chaos_9","Integer","","Recommended","No matter what our family plans, it usually doesn't seem to work out","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha9"
"chaos_10","Integer","","Recommended","You can't hear yourself think in our home","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha10"
"chaos_11","Integer","","Recommended","I often get drawn into other people's arguments at home","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha11"
"chaos_12","Integer","","Recommended","Our home is a good place to relax","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha12"
"chaos_13","Integer","","Recommended","The telephone takes up a lot of our time at home","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha13"
"chaos_14","Integer","","Recommended","The atmosphere in our home is calm","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha14"
"chaos_15","Integer","","Recommended","First thing in the day, we have a regular routine at home","1::4","1 = Very much like your own home; 2 = Somewhat like your own home; 3 = A little bit like your own home; 4 = Not at all like your own home","t1cha15"
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"ch08","Integer","","Recommended","(True/Untrue) There is often a fuss going on at our home.","1 :: 5","1= Definitely untrue; 2= Somewhat untrue; 3= Not really true/untrue; 4= Somewhat true; 5= Definitely true",""
"ch09","Integer","","Recommended","(True/Untrue) No matter what our family plans, it usually doesn't seem to work out.","1 :: 5","1= Definitely untrue; 2= Somewhat untrue; 3= Not really true/untrue; 4= Somewhat true; 5= Definitely true",""
"ch10","Integer","","Recommended","(True/Untrue) You can't hear yourself think in our home.","1 :: 5","1= Definitely untrue; 2= Somewhat untrue; 3= Not really true/untrue; 4= Somewhat true; 5= Definitely true",""
"ch11","Integer","","Recommended","(True/Untrue) I often get drawn into other people's arguments at home.","1 :: 5","1= Definitely untrue; 2= Somewhat untrue; 3= Not really true/untrue; 4= Somewhat true; 5= Definitely true",""
