"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
"wdeq_01_va","Integer","","Recommended","How do you think your labor and delivery will turn out as a whole? (Extremely fantastic/Not at all fantastic)","1::6","1= Extremely fantastic; 6= Not at all fantastic",""
"wdeq_02_va","Integer","","Recommended","How do you think your labor and delivery will turn out as a whole? (Not at all frightful/Extremely frightful)","1::6","1= Not at all frightful; 6= Extremely frightful",""
"wdeq_03_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Not at all lonely/Extremely lonely)","1::6","1= Not at all lonely; 6= Extremely lonely",""
"wdeq_04_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Extremely strong/Not at all strong)","1::6","1= Extremely strong; 6= Not at all strong",""
"wdeq_05_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Extremely confident/Not at all confident)","1::6","1= Extremely confident; 6= Not at all confident",""
"wdeq_06_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Not at all afraid/Extremely afraid)","1::6","1= Not at all afraid; 6= Extremely afraid",""
"wdeq_07_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Not at all deserted/Extremely deserted)","1::6","1= Not at all deserted; 6= Extremely deserted",""
"wdeq_08_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Not at all weak/Extremely weak)","1::6","1= Not at all weak; 6= Extremely weak",""
"wdeq_09_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Extremely safe/Not at all safe)","1::6","1= Extremely safe; 6= Not at all safe",""
"wdeq_10_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Extremely independent/Not at all independent)","1::6","1= Extremely independent; 6= Not at all independent",""
"wdeq_11_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Not at all desolate/Extremely desolate)","1::6","1= Not at all desolate; 6= Extremely desolate",""
"wdeq_12_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Not at all tense/Extremely tense)","1::6","1= Not at all tense; 6= Extremely tense",""
"wdeq_13_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Extremely glad/Not at all glad)","1::6","1= Extremely glad; 6= Not at all glad",""
"wdeq_14_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Extremely proud/Not at all proud)","1::6","1= Extremely proud; 6= Not at all proud",""
"wdeq_15_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Not at all abandoned/Extremely abandoned)","1::6","1= Not at all abandoned; 6= Extremely abandoned",""
"wdeq_16_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Extremely composed/Not at all composed)","1::6","1= Extremely compose; 6= Not at all composed",""
"wdeq_17_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Extremely relaxed/Not at all relaxed)","1::6","1= Extremely relaxed; 6= Not at all relaxed",""
"wdeq_18_va","Integer","","Recommended","How do you think you will feel in general during the labor and delivery? (Extremely happy/Not at all happy)","1::6","1= Extremely happy; 6= Not at all happy",""
"wdeq_19_va","Integer","","Recommended","How do you think you will feel during the labor and delivery? (No panic at all/Extreme panic)","1::6","1= No panic at all; 6= Extreme panic",""
"wdeq_20_va","Integer","","Recommended","How do you think you will feel during the labor and delivery? (No hopelessness at all/Extreme hopelessness)","1::6","1= No hopelessness at all; 6= Extreme hopelessness",""
"wdeq_21_va","Integer","","Recommended","How do you think you will feel during the labor and delivery? (Extreme longing for the child/No longing for the child at all)","1::6","1= Extreme longing for the child; 6= No longing for the child at all",""
"wdeq_22_va","Integer","","Recommended","How do you think you will feel during the labor and delivery? (Extreme self confidence/No self confidence at all)","1::6","1= Extreme self confidence; 6= No self confidence at all",""
"wdeq_23_va","Integer","","Recommended","How do you think you will feel during the labor and delivery? (Extreme trust/No trust at all)","1::6","1= Extreme trust; 6= No trust at all",""
"wdeq_24_va","Integer","","Recommended","How do you think you will feel during the labor and delivery? (No pain at all/Extreme pain)","1::6","1= No pain at all; 6= Extreme pain",""
"wdeq_25_va","Integer","","Recommended","What do you think will happen when labor is most intense? (I will not behave badly at all/I will be have extremely badly)","1::6","1= I will not behave badly at all; 6= I will behave extremely badly",""
"wdeq_26_va","Integer","","Recommended","What do you think will happen when labor is most intense? (I will dare to totally surrender control to my body/I will not dare to surrender control of my body at all)","1::6","1= I will dare to totally surrender control to my body; 6= I will not dare to surrender control of my body at all",""
"wdeq_27_va","Integer","","Recommended","What do you think will happen when labor is most intense? (I will not lose control of myself at all/I will totally lose control of myself","1::6","1= I will not lose control of myself at all; 6= I will totally lose control of myself",""
"wdeq_28_va","Integer","","Recommended","How do you imagine it will feel the very moment you deliver the baby? (Extremely funny/Not at all funny)","1::6","1= Extremely funny; 6= Not at all funny",""
"wdeq_29_va","Integer","","Recommended","How do you imagine it will feel the very moment you deliver the baby? (Extremely natural/Not at all natural)","1::6","1= Extremely natural; 6= Not at all natural",""
"wdeq_30_va","Integer","","Recommended","How do you imagine it will feel the very moment you deliver the baby? (Extremely self-evident/Not at all self-evident)","1::6","1= Extremely self-evident; 6= Not at all self-evident",""
"wdeq_31_va","Integer","","Recommended","How do you imagine it will feel the very moment you deliver the baby? (Not at all dangerous/Extremely dangerous)","1::6","1= Not at all dangerous; 6= Extremely dangerous",""
"wdeq_32_va","Integer","","Recommended","Have you, during the last month, had fantasies about the labor and delivery, for example: fantasies that your child will die during labor/delivery?","1::6","1= Never; 6= Very often",""
"wdeq_33_va","Integer","","Recommended","Have you, during the last month, had fantasies about the labor and delivery, for example: fantasies that your child will be injured during labor/delivery?","1::6","1= Never; 6= Very often",""
"wdeq_01_vb","Integer","","Recommended","How did you experience your labor and delivery as a whole? (Extremely fantastic/Not at all fantastic)","1::6","1= Extremely fantastic; 6= Not at all fantastic",""
"wdeq_02_vb","Integer","","Recommended","How did you experience your labor and delivery as a whole? (Not at all frightful/Extremely frightful)","1::6","1= Not at all frightful; 6= Extremely frightful",""
"wdeq_03_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Not at all lonely/Extremely lonely)","1::6","1= Not at all lonely; 6= Extremely lonely",""
"wdeq_04_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Extremely strong/Not at all strong)","1::6","1= Extremely strong; 6= Not at all strong",""
"wdeq_05_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Extremely confident/Not at all confident)","1::6","1= Extremely confident; 6= Not at all confident",""
"wdeq_06_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Not at all afraid/Extremely afraid)","1::6","1= Not at all afraid; 6= Extremely afraid",""
"wdeq_07_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Not at all deserted/Extremely deserted)","1::6","1= Not at all deserted; 6= Extremely deserted",""
"wdeq_08_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Not at all weak/Extremely weak)","1::6","1= Not at all weak; 6= Extremely weak",""
"wdeq_09_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Extremely safe/Not at all safe)","1::6","1= Extremely safe; 6= Not at all safe",""
"wdeq_10_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Extremely independent/Not at all independent)","1::6","1= Extremely independent; 6= Not at all independent",""
"wdeq_11_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Not at all desolate/Extremely desolate)","1::6","1= Not at all desolate; 6= Extremely desolate",""
"wdeq_12_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Not at all tense/Extremely tense)","1::6","1= Not at all tense; 6= Extremely tense",""
"wdeq_13_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Extremely glad/Not at all glad)","1::6","1= Extremely glad; 6= Not at all glad",""
"wdeq_14_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Extremely proud/Not at all proud)","1::6","1= Extremely proud; 6= Not at all proud",""
"wdeq_15_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Not at all abandoned/Extremely abandoned)","1::6","1= Not at all abandoned; 6= Extremely abandoned",""
"wdeq_16_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Extremely composed/Not at all composed)","1::6","1= Extremely compose; 6= Not at all composed",""
"wdeq_17_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Extremely relaxed/Not at all relaxed)","1::6","1= Extremely relaxed; 6= Not at all relaxed",""
"wdeq_18_vb","Integer","","Recommended","How did you feel in general during the labor and delivery? (Extremely happy/Not at all happy)","1::6","1= Extremely happy; 6= Not at all happy",""
"wdeq_19_vb","Integer","","Recommended","What did you feel during the labor and delivery? (No panic at all/Extreme panic)","1::6","1= No panic at all; 6= Extreme panic",""
"wdeq_20_vb","Integer","","Recommended","What did you feel during the labor and delivery? (No hopelessness at all/Extreme hopelessness)","1::6","1= No hopelessness at all; 6= Extreme hopelessness",""
"wdeq_21_vb","Integer","","Recommended","What did you feel during the labor and delivery? (Extreme longing for the child/No longing for the child at all)","1::6","1= Extreme longing for the child; 6= No longing for the child at all",""
"wdeq_22_vb","Integer","","Recommended","What did you feel during the labor and delivery? (Extreme self confidence/No self confidence at all)","1::6","1= Extreme self confidence; 6= No self confidence at all",""
"wdeq_23_vb","Integer","","Recommended","What did you feel during the labor and delivery? (Extreme trust/No trust at all)","1::6","1= Extreme trust; 6= No trust at all",""
"wdeq_24_vb","Integer","","Recommended","What did you feel during the labor and delivery? (No pain at all/Extreme pain)","1::6","1= No pain at all; 6= Extreme pain",""
"wdeq_25_vb","Integer","","Recommended","What happened when the labor and delivery was most intense? (I did not behave badly at all/I behaved extremely badly)","1::6","1= I did not behave badly at all; 6=  I behaved extremely badly",""
"wdeq_26_vb","Integer","","Recommended","What happened when the labor and delivery was most intense? (I dared to totally surrender control to my body/I did not dare to totally surrender control to my body at all)","1::6","1= I dared to totally surrender control to my body; 6= I did not dare to surrender control of my body at all",""
"wdeq_27_vb","Integer","","Recommended","What happened when the labor and delivery was most intense? (I did not lose control of myself at all/I totally lose control of myself)","1::6","1= I did not lose control of myself at all; 6= I totally lost control of myself",""
"wdeq_28_vb","Integer","","Recommended","How was the very moment you delivered the baby? (Extremely funny/Not at all funny)","1::6","1= Extremely funny; 6= Not at all funny",""
"wdeq_29_vb","Integer","","Recommended","How was the very moment you delivered the baby? (Extremely natural/Not at all natural)","1::6","1= Extremely natural; 6= Not at all natural",""
"wdeq_30_vb","Integer","","Recommended","How was the very moment you delivered the baby? (Extremely self-evident/Not at all self-evident)","1::6","1= Extremely self-evident; 6= Not at all self-evident",""
