"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"msrs_01_a","Integer","","Recommended","In the past month, I confronted or faced my fears and problems directly.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_01_b","Integer","","Recommended","In the past month, I confronted or faced my fears and problems directly. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_02_a","Integer","","Recommended","In the past month, I actively tried to change or challenge negative or critical thoughts about myself or others.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_02_b","Integer","","Recommended","In the past month, I actively tried to change or challenge negative or critical thoughts about myself or others. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_03_a","Integer","","Recommended","In the past month, I attempted to become a positive example or role model of how to handle challenges.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_03_b","Integer","","Recommended","In the past month, I attempted to become a positive example or role model of how to handle challenges. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_04_a","Integer","","Recommended","In the past month, I turned to friends, mentors, family members, spiritual leaders or teachers for advice on how to handle challenges.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_04_b","Integer","","Recommended","In the past month, I turned to friends, mentors, family members, spiritual leaders or teachers for advice on how to handle challenges. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_05_a","Integer","","Recommended","In the past month, I made efforts to stay hopeful about the future.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_05_b","Integer","","Recommended","In the past month, I made efforts to stay hopeful about the future. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_06_a","Integer","","Recommended","In the past month, I sought the support of others.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_06_b","Integer","","Recommended","In the past month, I sought the support of others. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_07_a","Integer","","Recommended","In the past month, my choices and behaviors were consistent with my convictions of what is right and what is wrong.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_07_b","Integer","","Recommended","In the past month, my choices and behaviors were consistent with my convictions of what is right and what is wrong. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_08_a","Integer","","Recommended","In the past month, I told myself that the challenges in my life can lead to personal growth.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_08_b","Integer","","Recommended","In the past month, I told myself that the challenges in my life can lead to personal growth. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_09_a","Integer","","Recommended","In the past month, when given the opportunity to choose my food, I chose foods that were nutritious or healthy.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_09_b","Integer","","Recommended","In the past month, when given the opportunity to choose my food, I chose foods that were nutritious or healthy. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_10_a","Integer","","Recommended","In the past month, I did my best to get enough sleep.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_10_b","Integer","","Recommended","In the past month, I did my best to get enough sleep. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_11_a","Integer","","Recommended","In the past month, I participated in activities that gave me meaning and purpose.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_11_b","Integer","","Recommended","In the past month, I participated in activities that gave me meaning and purpose. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_12_a","Integer","","Recommended","In the past month, I took time to notice and understand my emotional and bodily reactions to stressful situations.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_12_b","Integer","","Recommended","In the past month, I took time to notice and understand my emotional and bodily reactions to stressful situations. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_13_a","Integer","","Recommended","In the past month, I accepted that there are difficult emotions, situations or people that I cannot change right now.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
"msrs_13_b","Integer","","Recommended","In the past month, I accepted that there are difficult emotions, situations or people that I cannot change right now. - How useful/effective was this strategy?","0::4","0 = Not at all useful/effective; 1 = Slightly useful/effective; 2 = Moderately useful/effective; 3 = Very useful/effective; 4 = Completely useful/effective",""
"msrs_14_a","Integer","","Recommended","In the past month, I felt the positive impact of my religious and/or spiritual beliefs in many areas of my life.","0::4","0 = Not at all true; 1 = Rarely true; 2 = Sometimes true; 3 = Frequently true; 4 = Almost always true",""
