"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"core_om_01","Integer","","Recommended","Over the last week... I have felt terribly alone and isolated","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_02","Integer","","Recommended","Over the last week... I have felt tense, anxious or nervous","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_03","Integer","","Recommended","Over the last week... I have felt I have someone to turn to for support when needed","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_04","Integer","","Recommended","Over the last week... I have felt O.K. about myself","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_05","Integer","","Recommended","Over the last week... I have felt totally lacking in energy and enthusiasm","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_06","Integer","","Recommended","Over the last week... I have been physically violent to others","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_07","Integer","","Recommended","Over the last week... I have felt able to cope when things go wrong","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_08","Integer","","Recommended","Over the last week... I have been troubled by aches, pains or other physical problems","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_09","Integer","","Recommended","Over the last week... I have thought of hurting myself","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_10","Integer","","Recommended","Over the last week... Talking to people has felt too much for me","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_11","Integer","","Recommended","Over the last week... Tension and anxiety have prevented me doing important things","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_12","Integer","","Recommended","Over the last week... I have been happy with the things I have done","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_13","Integer","","Recommended","Over the last week... I have been disturbed by unwanted thoughts and feelings","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_14","Integer","","Recommended","Over the last week... I have felt like crying","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_15","Integer","","Recommended","Over the last week... I have felt panic or terror","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_16","Integer","","Recommended","Over the last week... I made plans to end my life","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_17","Integer","","Recommended","Over the last week... I have felt overwhelmed by my problems","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_18","Integer","","Recommended","Over the last week... I have had difficulty getting to sleep or staying asleep","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_19","Integer","","Recommended","Over the last week... I have felt warmth or affection for someone","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_20","Integer","","Recommended","Over the last week... My problems have been impossible to put to one side","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_21","Integer","","Recommended","Over the last week... I have been able to do most things I needed to","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_22","Integer","","Recommended","Over the last week... I have threatened or intimidated another person","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_23","Integer","","Recommended","Over the last week... I have felt despairing or hopeless","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_24","Integer","","Recommended","Over the last week... I have thought it would be better if I were dead","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_25","Integer","","Recommended","Over the last week... I have felt criticized by other people","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_26","Integer","","Recommended","Over the last week... I have thought I have no friends","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_27","Integer","","Recommended","Over the last week... I have felt unhappy","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_28","Integer","","Recommended","Over the last week... Unwanted images or memories have been distressing me","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_29","Integer","","Recommended","Over the last week... I have been irritable when with other people","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_30","Integer","","Recommended","Over the last week... I have thought I am to blame for my problems and difficulties","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_31","Integer","","Recommended","Over the last week... I have felt optimistic about my future","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_32","Integer","","Recommended","Over the last week... I have achieved the things I wanted to","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_33","Integer","","Recommended","Over the last week... I have felt humiliated or shamed by other people","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_34","Integer","","Recommended","Over the last week... I have hurt myself physically or taken dangerous risks with my health","0::4","0= Not at all; 1= Only occasionally; 2= Sometimes; 3= Often; 4= Most or all of the time",""
"core_om_tot_w","Integer","","Recommended","CORE-OM: Subjective Well-Being Total Score","0::16","Sum of 4 items: core_om_4 (reversed), 14, 17, 31 (reversed)",""
"core_om_tot_p","Integer","","Recommended","CORE-OM: Problems/Symptoms Total Score","0::48","Sum of 12 items: core_om_2, 5, 8, 11, 13, 15, 18, 20, 23, 27-28, 30",""
"core_om_tot_f","Integer","","Recommended","CORE-OM: Life Functioning Total Score","0::48","Sum of 12 items: core_om_1, 3 (reversed), 7 (reversed), 10, 12 (reversed), 19 (reversed), 21 (reversed), 25-26, 29, 32 (reversed), 33",""
"core_om_tot_r","Integer","","Recommended","CORE-OM: Risk Total Score","0::24","Sum of 6 items: core_om_6, 9, 16, 22, 24, 34",""
"core_om_tot_all","Integer","","Recommended","CORE-OM: All Items Total Score","0::136","Sum of 34 items: core_om_1-2, 3-4 (reversed), 5-6, 7 (reversed), 8-11, 12 (reversed), 13-18, 19 (reversed), 20, 21 (reversed), 22-30, 31-32 (reversed), 33-34",""
"core_om_tot_all_minus_r","Integer","","Recommended","CORE-OM: All minus Risk Total Score","0::112","Sum of 28 non-Risk items: core_om_1-2, 3-4 (reversed), 5, 7 (reversed), 8, 10-11, 12 (reversed), 13-15, 17-18, 19 (reversed), 20, 21 (reversed), 23, 25-30, 31-32 (reversed), 33",""
"core_om_avg_w","Float","","Recommended","CORE-OM: Subjective Well-Being Mean Score","0::4","Average of 4 items: core_om_4 (reversed), 14, 17, 31 (reversed)",""
"core_om_avg_p","Float","","Recommended","CORE-OM: Problems/Symptoms Mean Score","0::4","Average of 12 items: core_om_2, 5, 8, 11, 13, 15, 18, 20, 23, 27-28, 30",""
"core_om_avg_f","Float","","Recommended","CORE-OM: Life Functioning Mean Score","0::4","Average of 12 items: core_om_1, 3 (reversed), 7 (reversed), 10, 12 (reversed), 19 (reversed), 21 (reversed), 25-26, 29, 32 (reversed), 33",""
"core_om_avg_r","Float","","Recommended","CORE-OM: Risk Mean Score","0::4","Average of 6 items: core_om_6, 9, 16, 22, 24, 34",""
"core_om_avg_all","Float","","Recommended","CORE-OM: All Items Mean Score","0::4","Average of 34 items: core_om_1-2, 3-4 (reversed), 5-6, 7 (reversed), 8-11, 12 (reversed), 13-18, 19 (reversed), 20, 21 (reversed), 22-30, 31-32 (reversed), 33-34",""
"core_om_avg_all_minus_r","Float","","Recommended","CORE-OM: All minus Risk Mean Score","0::4","Average of 28 non-Risk items: core_om_1-2, 3-4 (reversed), 5, 7 (reversed), 8, 10-11, 12 (reversed), 13-15, 17-18, 19 (reversed), 20, 21 (reversed), 23, 25-30, 31-32 (reversed), 33",""
